0.770,-0.275,0.033,0.151
0.788,-0.309,-0.225,0.249
0.745,0.257,0.287,0.111
0.728,0.081,-0.613,0.355
0.735,0.668,-0.014,0.641
0.802,-0.663,0.667,0.346
0.745,0.112,-0.209,0.663
0.780,-0.263,0.057,0.934
0.643,-0.093,-0.226,0.942
0.676,0.342,-0.809,0.380
0.727,-0.515,0.406,0.699
0.646,-0.578,0.219,0.998
0.732,-0.365,-0.514,0.602
0.665,0.022,-0.926,1.000
0.783,-0.313,-0.683,0.997
0.763,0.869,0.167,1.000
0.800,0.734,0.486,0.732
0.850,-0.877,0.984,0.960
0.826,0.337,-0.341,1.000
0.626,-0.901,0.992,1.000
0.791,-0.532,-0.173,0.924
0.910,1.359,-0.157,1.000
0.675,0.575,1.102,1.000
0.781,0.519,-0.736,1.000
0.889,-1.570,-0.121,1.000
0.759,-0.399,-0.048,0.274
0.725,1.193,2.224,1.000
0.829,1.142,0.372,1.000
0.881,-0.001,-0.582,1.000
0.901,-0.574,-1.323,1.000
0.737,0.583,0.053,0.998
0.695,-0.148,0.259,1.000
0.574,1.067,-1.337,1.000
0.967,0.279,-0.401,1.000
0.614,0.146,-1.210,0.987
0.812,-0.349,-0.029,1.000
0.773,-0.679,0.421,1.000
0.633,-0.117,-0.403,1.000
0.940,-0.814,-0.091,1.000
0.810,-0.254,0.029,1.000
0.797,-1.037,-1.406,1.000
0.821,-0.083,0.398,1.000
0.747,-0.411,0.613,1.000
0.617,-1.909,0.574,0.987
0.653,1.063,0.775,1.000
0.727,-0.647,0.076,1.000
0.796,-0.022,1.185,1.000
0.906,-0.551,1.422,0.994
0.933,-0.826,1.062,1.000
0.833,1.168,-1.833,0.678
0.983,-0.285,0.023,0.983
0.693,0.040,0.815,0.487
0.730,2.882,0.745,-1.000
0.863,1.208,-1.327,0.111
0.920,-0.245,-0.086,1.000
0.885,1.685,1.566,0.674
0.902,0.150,0.062,0.116
0.743,1.604,0.283,0.822
0.723,1.362,0.451,0.950
0.750,1.438,0.400,0.561
0.692,-0.191,-1.567,1.000
0.826,1.313,-1.099,0.090
0.887,1.445,-0.422,1.000
0.983,-0.788,0.411,0.846
0.671,0.698,-0.333,0.041
0.603,0.392,0.003,0.979
0.511,0.223,-0.998,1.000
0.835,-0.953,-1.200,0.998
0.636,-0.827,-1.318,0.487
0.764,-1.318,-1.523,0.919
0.668,0.305,-0.461,0.389
0.592,-0.237,-0.543,0.324
0.545,1.402,-1.819,0.621
0.492,0.298,-1.599,0.452
0.494,0.319,-1.048,1.000
0.775,-0.346,-1.338,0.137
0.760,-0.902,-0.359,-0.255
0.741,-0.139,-1.440,0.873
0.693,-0.662,-0.594,0.541
0.650,-0.009,-1.685,-0.377
0.690,0.654,-1.166,-0.461
0.689,-0.646,-1.865,1.000
0.572,0.266,-1.572,0.641
0.803,-0.010,-0.269,-0.246
0.692,-1.718,-1.241,0.069
0.672,-0.423,-1.561,0.147
0.848,-1.054,-0.739,-0.175
0.824,-2.413,-1.999,0.148
0.751,-2.237,-1.735,0.459
0.759,-1.119,-0.364,0.584
0.463,-0.559,-2.327,0.526
0.666,-2.784,-2.110,0.189
0.517,-2.485,-1.730,0.578
0.476,-0.595,0.323,0.785
0.578,-2.893,0.304,0.389
0.547,-1.309,-1.972,0.248
0.536,-2.163,-0.293,-0.738
0.699,0.138,-0.659,-0.297
0.651,-0.625,0.659,-1.000
0.410,-1.921,0.592,0.107
0.553,-1.772,0.321,0.854
0.460,-2.118,1.475,-0.116
0.652,-1.874,0.412,-0.071
0.685,-1.048,-0.121,0.017
0.491,-1.981,-0.366,-0.707
0.533,-1.090,0.748,0.575
0.678,-2.033,0.481,-0.403
0.710,-0.656,1.080,0.406
0.540,-3.000,2.269,0.204
0.658,-0.675,0.561,0.441
0.632,-2.108,0.618,0.737
0.606,-1.862,2.657,-0.371
0.925,0.503,0.528,0.653
0.752,-1.072,2.261,0.101
0.564,-2.354,1.557,-0.604
0.530,-0.653,0.739,-0.342
0.723,-1.162,2.635,0.792
0.744,-0.277,1.614,0.587
0.655,-0.817,1.462,0.793
0.558,-1.798,-0.197,0.972
0.539,-2.433,0.242,-0.688
0.671,-0.708,0.079,0.965
0.397,-2.168,2.700,0.194
