time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
1768819173.219842   27.793    0.695    -0.227    2.200    -1.000 | -0.035    0.001    -0.014
1768819173.246615   9.031    0.226    -2.710    2.892    -1.000 | -0.035    0.001    -0.014
1768819173.277037   17.328    0.433    -2.721    2.819    -1.000 | -0.034    -0.002    -0.017
1768819173.305107   15.038    0.376    -2.427    0.684    -1.000 | -0.034    -0.002    -0.017
1768819173.337581   5.831    0.146    -2.895    2.952    -0.852 | -0.033    -0.004    -0.020
1768819173.365471   31.878    0.797    0.230    2.169    -1.000 | -0.033    -0.004    -0.020
1768819173.390808   18.475    0.462    -1.935    3.000    -1.000 | -0.032    -0.006    -0.022
1768819173.413371   9.649    0.241    -2.591    1.970    -1.000 | -0.032    -0.006    -0.022
1768819173.439866   8.143    0.204    -1.967    2.490    -0.934 | -0.032    -0.007    -0.023
1768819173.477152   19.135    0.478    -3.000    1.988    -1.000 | -0.032    -0.007    -0.023
1768819173.504922   23.347    0.584    -3.000    -0.843    -0.933 | -0.031    -0.009    -0.025
1768819173.535116   30.436    0.761    -1.481    -1.451    -0.996 | -0.031    -0.009    -0.025
1768819173.559340   0.000    0.000    -0.238    0.643    -0.904 | -0.029    -0.013    -0.028
1768819173.586532   34.674    0.867    -1.633    0.244    -1.000 | -0.029    -0.013    -0.028
1768819173.619025   23.449    0.586    -2.648    2.441    -0.994 | -0.028    -0.016    -0.031
1768819173.646105   19.001    0.475    -2.359    -1.642    -1.000 | -0.028    -0.016    -0.031
1768819173.673664   11.034    0.276    -2.886    -1.960    -1.000 | -0.027    -0.018    -0.033
1768819173.699010   3.526    0.088    3.000    -1.150    -1.000 | -0.027    -0.018    -0.033
1768819173.725867   3.604    0.090    -1.722    -1.432    -0.980 | -0.028    -0.020    -0.033
1768819173.757972   7.102    0.178    -0.593    -0.738    -1.000 | -0.028    -0.020    -0.033
1768819173.794871   17.974    0.449    1.882    0.559    -1.000 | -0.030    -0.022    -0.032
1768819173.821334   34.300    0.857    1.248    1.128    -1.000 | -0.030    -0.022    -0.032
1768819173.847878   39.213    0.980    1.286    2.376    -1.000 | -0.035    -0.022    -0.029
1768819173.875956   26.864    0.672    -1.379    2.886    -1.000 | -0.035    -0.022    -0.029
1768819173.906734   26.487    0.662    -2.809    0.397    -1.000 | -0.049    -0.024    -0.023
1768819173.934522   36.838    0.921    -3.000    2.224    -1.000 | -0.049    -0.024    -0.023
1768819173.960631   18.152    0.454    -2.812    -2.713    -0.950 | -0.059    -0.029    -0.029
1768819173.989654   23.782    0.595    -2.367    -2.252    -0.901 | -0.059    -0.029    -0.029
1768819174.015556   17.547    0.439    -3.000    -0.556    -1.000 | -0.063    -0.035    -0.033
1768819174.042634   9.151    0.229    -2.810    -0.518    -1.000 | -0.063    -0.035    -0.033
1768819174.077830   0.000    0.000    2.590    -0.632    -1.000 | -0.064    -0.043    -0.036
