time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
1768819180.639891   9.988    0.250    3.000    -1.744    1.000 | -8.267    6.175    0.672
1768819180.668179   27.161    0.679    2.700    -3.000    0.864 | -8.272    6.095    0.673
1768819180.694333   34.290    0.857    3.000    -1.577    0.277 | -8.272    6.095    0.673
1768819180.722430   2.964    0.074    2.892    -3.000    0.760 | -8.268    5.982    0.673
1768819180.750167   23.448    0.586    3.000    -2.462    0.978 | -8.268    5.982    0.673
1768819180.778420   29.228    0.731    2.910    -2.660    0.993 | -8.247    5.891    0.672
1768819180.806892   36.264    0.907    2.662    -3.000    0.437 | -8.247    5.891    0.672
1768819180.833558   4.610    0.115    3.000    -1.244    1.000 | -8.188    5.765    0.670
1768819180.864091   40.000    1.000    2.572    -2.671    -0.928 | -8.188    5.765    0.670
1768819180.891660   11.613    0.290    2.713    -2.676    0.875 | -8.141    5.638    0.668
1768819180.919954   0.059    0.001    2.286    -1.358    0.625 | -8.141    5.638    0.668
1768819180.949991   12.128    0.303    1.644    -2.051    -0.482 | -8.110    5.542    0.666
1768819180.978232   24.365    0.609    3.000    -3.000    1.000 | -8.110    5.542    0.666
1768819181.007619   3.862    0.097    3.000    -2.553    -0.675 | -8.081    5.432    0.663
1768819181.039357   12.220    0.306    2.579    0.606    -0.418 | -8.055    5.363    0.660
1768819181.081035   19.601    0.490    2.941    -0.961    0.746 | -8.055    5.363    0.660
1768819181.119477   24.677    0.617    2.998    -3.000    0.872 | -7.998    5.265    0.656
1768819181.147440   40.000    1.000    3.000    -0.491    0.905 | -7.998    5.265    0.656
1768819181.177984   16.348    0.409    3.000    -2.878    0.899 | -7.966    5.207    0.653
1768819181.211904   12.635    0.316    3.000    -1.121    0.279 | -7.942    5.152    0.649
1768819181.247080   31.978    0.799    2.037    -3.000    -0.233 | -7.942    5.152    0.649
1768819181.282030   40.000    1.000    2.860    -2.861    0.837 | -7.911    5.085    0.646
1768819181.316654   34.878    0.872    2.639    -3.000    0.671 | -7.911    5.085    0.646
1768819181.349545   15.550    0.389    2.647    -2.070    0.849 | -7.855    4.989    0.642
1768819181.377965   8.996    0.225    3.000    -0.293    0.267 | -7.855    4.989    0.642
1768819181.407762   23.209    0.580    3.000    -2.148    0.344 | -7.801    4.894    0.638
1768819181.438451   0.000    0.000    2.992    -2.643    0.849 | -7.801    4.894    0.638
1768819181.467015   0.000    0.000    1.593    -2.629    -0.638 | -7.735    4.795    0.634
1768819181.492912   11.895    0.297    0.616    -1.873    0.412 | -7.735    4.795    0.634
1768819181.520603   6.503    0.163    2.765    -2.209    -0.415 | -7.649    4.707    0.630
1768819181.552588   23.591    0.590    0.613    0.076    -0.972 | -7.649    4.707    0.630
1768819181.584557   14.809    0.370    2.181    -3.000    -0.769 | -7.580    4.634    0.627
1768819181.612026   7.801    0.195    2.404    -3.000    -0.302 | -7.580    4.634    0.627
1768819181.641140   19.346    0.484    2.333    -2.857    0.626 | -7.523    4.560    0.622
1768819181.670658   4.508    0.113    2.274    -0.500    -0.415 | -7.523    4.560    0.622
1768819181.706489   19.469    0.487    -2.493    -3.000    0.472 | -7.488    4.483    0.617
1768819181.737592   9.536    0.238    1.823    -1.031    0.582 | -7.488    4.483    0.617
1768819181.767613   32.443    0.811    0.397    -3.000    -0.308 | -7.476    4.430    0.610
1768819181.796888   18.889    0.472    3.000    0.554    -0.736 | -7.476    4.430    0.610
1768819181.828060   10.573    0.264    2.200    -1.932    -0.196 | -7.474    4.393    0.603
1768819181.863443   21.530    0.538    2.177    -3.000    0.103 | -7.474    4.393    0.603
1768819181.891296   32.082    0.802    2.259    -2.777    -0.141 | -7.469    4.368    0.598
1768819181.921097   31.840    0.796    2.196    -3.000    0.651 | -7.469    4.368    0.598
1768819181.949391   17.256    0.431    1.245    -3.000    0.213 | -7.451    4.366    0.591
1768819181.981239   33.213    0.830    -0.523    -3.000    -0.559 | -7.451    4.366    0.591
1768819182.008648   10.144    0.254    1.450    -3.000    0.229 | -7.420    4.380    0.585
1768819182.040995   13.664    0.342    1.956    -3.000    0.565 | -7.420    4.380    0.585
1768819182.069468   1.337    0.033    -1.187    -3.000    -1.000 | -7.389    4.392    0.578
1768819182.101677   13.018    0.325    1.902    -3.000    0.619 | -7.389    4.392    0.578
1768819182.131620   40.000    1.000    2.983    -2.826    -0.743 | -7.361    4.383    0.572
1768819182.160345   13.516    0.338    0.102    -2.839    0.549 | -7.361    4.383    0.572
1768819182.187709   7.745    0.194    3.000    -3.000    1.000 | -7.350    4.369    0.568
1768819182.215643   27.777    0.694    0.782    -3.000    -0.219 | -7.350    4.369    0.568
1768819182.245175   24.152    0.604    0.516    -3.000    0.313 | -7.329    4.326    0.562
1768819182.276774   14.604    0.365    2.685    -3.000    -1.000 | -7.329    4.326    0.562
1768819182.304043   6.779    0.169    2.148    -3.000    0.469 | -7.305    4.296    0.559
1768819182.330268   13.840    0.346    2.500    -3.000    -0.092 | -7.305    4.296    0.559
1768819182.360052   16.880    0.422    -0.596    -3.000    -0.473 | -7.278    4.257    0.554
1768819182.390735   4.675    0.117    0.781    -3.000    -0.530 | -7.278    4.257    0.554
1768819182.420154   14.403    0.360    2.986    -3.000    -1.000 | -7.252    4.231    0.551
1768819182.451304   33.422    0.836    -1.303    -3.000    -0.799 | -7.252    4.231    0.551
1768819182.476827   26.790    0.670    0.618    -3.000    -0.057 | -7.213    4.208    0.547
1768819182.506852   25.790    0.645    -0.302    -2.226    0.981 | -7.213    4.208    0.547
1768819182.538603   13.520    0.338    -0.244    -2.836    -0.334 | -7.170    4.169    0.543
1768819182.570147   7.404    0.185    -2.201    -2.761    0.151 | -7.170    4.169    0.543
1768819182.600471   17.884    0.447    1.158    -2.992    0.908 | -7.107    4.113    0.539
1768819182.630481   39.208    0.980    -3.000    -3.000    -0.819 | -7.107    4.113    0.539
1768819182.661476   2.611    0.065    -1.233    -3.000    -1.000 | -7.031    4.059    0.536
1768819182.690985   0.000    0.000    -1.368    -2.963    -0.352 | -7.031    4.059    0.536
1768819182.723189   3.897    0.097    3.000    -3.000    -0.710 | -6.971    4.018    0.533
1768819182.748303   29.474    0.737    -0.100    -2.986    -0.836 | -6.971    4.018    0.533
1768819182.772324   10.434    0.261    1.360    -3.000    -0.589 | -6.903    3.976    0.530
1768819182.800445   1.416    0.035    3.000    -3.000    -0.255 | -6.903    3.976    0.530
1768819182.831033   0.000    0.000    -0.112    -2.722    0.327 | -6.826    3.940    0.526
1768819182.861510   16.032    0.401    0.170    -3.000    0.517 | -6.826    3.940    0.526
1768819182.890002   38.231    0.956    -0.854    -2.922    0.913 | -6.750    3.893    0.523
1768819182.917898   35.921    0.898    -0.725    -3.000    -0.948 | -6.750    3.893    0.523
1768819182.950747   23.022    0.576    -1.164    -2.893    0.063 | -6.686    3.825    0.520
1768819182.977534   32.896    0.822    -2.542    -2.465    -0.264 | -6.686    3.825    0.520
1768819183.004332   14.587    0.365    -0.649    -3.000    -1.000 | -6.659    3.785    0.518
1768819183.031334   22.085    0.552    2.555    -3.000    0.785 | -6.659    3.785    0.518
1768819183.063756   8.891    0.222    -1.426    -3.000    0.166 | -6.618    3.683    0.515
1768819183.091828   24.531    0.613    0.386    -3.000    0.385 | -6.618    3.683    0.515
1768819183.120881   11.454    0.286    1.275    -2.677    -0.763 | -6.581    3.555    0.513
1768819183.148939   6.188    0.155    1.802    -3.000    -0.939 | -6.581    3.555    0.513
1768819183.183436   3.503    0.088    1.162    -3.000    0.592 | -6.528    3.404    0.510
1768819183.211601   35.804    0.895    3.000    -3.000    -0.484 | -6.528    3.404    0.510
1768819183.250012   10.524    0.263    -2.637    -2.099    0.190 | -6.461    3.269    0.508
1768819183.283031   19.980    0.500    1.611    -3.000    0.828 | -6.461    3.269    0.508
1768819183.312302   22.796    0.570    -0.618    -2.895    -0.657 | -6.414    3.192    0.506
1768819183.344890   15.447    0.386    -3.000    -2.971    -0.567 | -6.414    3.192    0.506
1768819183.369859   40.000    1.000    -0.290    -3.000    -0.405 | -6.337    3.108    0.502
1768819183.397613   34.986    0.875    -1.125    -3.000    0.656 | -6.337    3.108    0.502
1768819183.430121   0.000    0.000    -1.925    -3.000    0.713 | -6.279    3.055    0.500
1768819183.461130   35.556    0.889    -3.000    -3.000    -0.448 | -6.279    3.055    0.500
1768819183.491026   40.000    1.000    0.166    -2.141    -0.901 | -6.221    3.016    0.494
1768819183.520253   36.983    0.925    1.718    -3.000    -1.000 | -6.221    3.016    0.494
1768819183.556969   0.000    0.000    -2.036    -3.000    -0.822 | -6.181    3.005    0.488
1768819183.589817   1.779    0.044    -1.074    -2.856    -0.758 | -6.181    3.005    0.488
1768819183.626343   29.843    0.746    -1.707    -3.000    -1.000 | -6.164    3.000    0.486
1768819183.658320   34.885    0.872    -3.000    -3.000    -0.367 | -6.164    3.000    0.486
1768819183.688337   26.200    0.655    0.023    -3.000    -1.000 | -6.124    3.007    0.478
1768819183.722468   40.000    1.000    0.596    -3.000    -0.172 | -6.124    3.007    0.478
1768819183.753380   22.350    0.559    -2.428    -3.000    -0.637 | -6.089    3.018    0.472
1768819183.782469   22.167    0.554    -2.456    -2.911    0.116 | -6.089    3.018    0.472
1768819183.809148   7.158    0.179    0.316    -3.000    -0.469 | -6.046    3.030    0.467
1768819183.836971   12.184    0.305    -3.000    -2.974    0.411 | -6.046    3.030    0.467
1768819183.869054   27.907    0.698    0.421    -3.000    -0.512 | -5.995    3.045    0.462
1768819183.903702   7.877    0.197    2.572    -2.720    0.112 | -5.995    3.045    0.462
1768819183.937906   4.341    0.109    -0.976    -3.000    -0.849 | -5.960    3.046    0.458
1768819183.973121   11.623    0.291    2.769    -3.000    -0.415 | -5.960    3.046    0.458
1768819184.009142   4.356    0.109    -0.546    -3.000    -0.726 | -5.906    3.012    0.452
1768819184.041675   6.317    0.158    -1.733    -3.000    0.150 | -5.906    3.012    0.452
1768819184.075186   16.373    0.409    1.860    -3.000    0.116 | -5.853    2.971    0.447
1768819184.106104   40.000    1.000    0.688    -3.000    0.153 | -5.853    2.971    0.447
1768819184.133009   28.921    0.723    -1.762    -2.819    -0.024 | -5.822    2.954    0.444
1768819184.168666   5.905    0.148    -2.161    -3.000    -0.673 | -5.822    2.954    0.444
1768819184.200125   20.406    0.510    -0.758    -3.000    -0.582 | -5.801    2.957    0.440
1768819184.227521   25.642    0.641    0.997    -2.959    -0.027 | -5.801    2.957    0.440
1768819184.255634   21.860    0.546    -0.137    -3.000    0.430 | -5.785    2.956    0.437
1768819184.285038   40.000    1.000    0.588    -3.000    0.924 | -5.780    2.945    0.435
1768819184.315666   40.000    1.000    -2.810    -2.936    -0.805 | -5.780    2.945    0.435
1768819184.347489   35.403    0.885    -0.248    -3.000    -0.215 | -5.770    2.915    0.431
1768819184.373128   17.889    0.447    -2.496    -3.000    1.000 | -5.770    2.915    0.431
1768819184.403193   11.804    0.295    -3.000    -3.000    -0.318 | -5.743    2.873    0.427
1768819184.430049   26.527    0.663    1.965    -2.872    -0.899 | -5.743    2.873    0.427
1768819184.460203   1.220    0.030    -1.811    -3.000    0.270 | -5.708    2.805    0.424
1768819184.494153   16.473    0.412    0.611    -3.000    0.478 | -5.708    2.805    0.424
1768819184.522142   40.000    1.000    -2.922    -2.965    -1.000 | -5.669    2.741    0.421
1768819184.553040   27.756    0.694    -2.219    -3.000    0.851 | -5.669    2.741    0.421
1768819184.586092   33.012    0.825    -0.048    -2.659    -0.756 | -5.630    2.655    0.418
1768819184.613268   0.000    0.000    -3.000    -3.000    1.000 | -5.630    2.655    0.418
1768819184.643664   3.897    0.097    -1.353    -3.000    -0.414 | -5.577    2.590    0.416
1768819184.672934   29.886    0.747    -3.000    -3.000    -0.727 | -5.577    2.590    0.416
1768819184.702429   0.000    0.000    -1.219    -3.000    0.622 | -5.546    2.544    0.413
1768819184.732280   8.534    0.213    -0.026    -3.000    -0.558 | -5.546    2.544    0.413
1768819184.768625   33.031    0.826    -1.387    -3.000    -0.725 | -5.513    2.513    0.411
1768819184.800887   2.286    0.057    -2.990    -3.000    -0.436 | -5.513    2.513    0.411
1768819184.827555   18.680    0.467    1.679    -3.000    0.013 | -5.491    2.501    0.408
1768819184.857641   12.849    0.321    -2.686    -3.000    -0.324 | -5.491    2.501    0.408
1768819184.887909   0.000    0.000    -1.505    -3.000    -1.000 | -5.482    2.504    0.405
1768819184.938381   25.186    0.630    0.626    -3.000    -0.874 | -5.482    2.504    0.405
1768819184.985442   12.245    0.306    -2.738    -2.816    -0.228 | -5.474    2.517    0.402
1768819185.032242   40.000    1.000    -3.000    -3.000    0.575 | -5.474    2.517    0.402
1768819185.073823   22.951    0.574    -1.343    -3.000    -0.400 | -5.458    2.555    0.398
1768819185.107665   32.363    0.809    -1.496    -3.000    -0.472 | -5.458    2.555    0.398
1768819185.140056   16.146    0.404    -0.847    -3.000    -0.145 | -5.432    2.571    0.395
1768819185.173850   29.996    0.750    0.355    -3.000    0.280 | -5.432    2.571    0.395
1768819185.209912   1.105    0.028    -1.013    -3.000    0.017 | -5.414    2.582    0.392
1768819185.239436   10.406    0.260    -1.246    -2.536    -0.841 | -5.414    2.582    0.392
1768819185.266598   37.941    0.949    -3.000    -3.000    -1.000 | -5.369    2.594    0.388
1768819185.292884   20.125    0.503    -3.000    -3.000    -0.634 | -5.369    2.594    0.388
1768819185.325015   38.563    0.964    -0.595    -3.000    -0.517 | -5.319    2.623    0.384
1768819185.356447   14.561    0.364    -2.898    -2.899    0.301 | -5.319    2.623    0.384
1768819185.385627   23.169    0.579    -2.775    -3.000    -0.079 | -5.278    2.644    0.382
1768819185.412803   40.000    1.000    -3.000    -3.000    -0.255 | -5.278    2.644    0.382
1768819185.440839   40.000    1.000    2.233    -3.000    0.051 | -5.209    2.708    0.378
1768819185.475763   40.000    1.000    1.907    -3.000    -0.001 | -5.209    2.708    0.378
1768819185.503403   16.082    0.402    -3.000    -2.863    1.000 | -5.169    2.755    0.375
1768819185.532132   4.408    0.110    -2.964    -2.707    -0.542 | -5.169    2.755    0.375
1768819185.595491   0.809    0.020    -3.000    -2.977    0.396 | -5.116    2.809    0.372
1768819185.629208   22.392    0.560    2.900    -3.000    -0.888 | -5.116    2.809    0.372
1768819185.667701   2.441    0.061    -2.665    -3.000    -0.836 | -5.015    2.889    0.367
1768819185.708452   37.963    0.949    2.908    -3.000    0.587 | -5.015    2.889    0.367
1768819185.745943   40.000    1.000    2.323    -3.000    0.723 | -4.939    2.933    0.363
1768819185.791861   12.313    0.308    2.480    -3.000    -0.248 | -4.939    2.933    0.363
1768819185.839857   23.582    0.590    0.123    -3.000    -0.186 | -4.886    2.962    0.360
1768819185.870797   6.225    0.156    -0.000    -2.969    0.035 | -4.886    2.962    0.360
1768819185.909280   7.344    0.184    2.747    -3.000    0.110 | -4.833    2.989    0.357
1768819185.951261   22.591    0.565    -2.055    -3.000    -0.027 | -4.833    2.989    0.357
1768819185.995655   15.139    0.378    3.000    -2.816    -0.028 | -4.813    2.988    0.353
1768819186.035051   13.251    0.331    1.934    -3.000    -0.651 | -4.813    2.988    0.353
1768819186.070343   27.076    0.677    1.781    -3.000    -0.774 | -4.819    2.961    0.349
1768819186.115314   14.668    0.367    2.000    -3.000    -0.188 | -4.819    2.961    0.349
1768819186.148369   36.082    0.902    2.213    -3.000    0.049 | -4.837    2.932    0.346
1768819186.178761   37.919    0.948    1.339    -3.000    0.862 | -4.837    2.932    0.346
1768819186.214237   12.399    0.310    1.797    -3.000    -0.881 | -4.857    2.917    0.343
1768819186.241311   16.031    0.401    0.575    -2.947    0.469 | -4.857    2.917    0.343
1768819186.271683   17.549    0.439    2.880    -2.644    -1.000 | -4.883    2.896    0.340
1768819186.300428   21.638    0.541    3.000    -2.933    -0.082 | -4.883    2.896    0.340
1768819186.330377   17.930    0.448    3.000    -2.980    -0.670 | -4.911    2.854    0.337
1768819186.360076   12.223    0.306    0.544    -2.977    0.144 | -4.911    2.854    0.337
1768819186.393409   18.781    0.470    -0.817    -2.727    -0.417 | -4.928    2.835    0.334
1768819186.422168   16.261    0.407    2.463    -2.629    0.555 | -4.928    2.835    0.334
1768819186.449364   21.213    0.530    -0.477    -3.000    -0.234 | -4.960    2.797    0.330
1768819186.479985   40.000    1.000    1.259    -2.745    0.503 | -4.960    2.797    0.330
1768819186.510381   0.000    0.000    0.628    -2.978    -0.720 | -5.007    2.752    0.328
1768819186.537749   17.675    0.442    -1.146    -2.995    0.845 | -5.007    2.752    0.328
1768819186.572457   22.596    0.565    -2.263    -3.000    -0.694 | -5.063    2.712    0.324
1768819186.600569   5.879    0.147    -1.470    -2.831    -0.591 | -5.063    2.712    0.324
1768819186.626202   22.605    0.565    -3.000    -3.000    -0.610 | -5.132    2.671    0.320
1768819186.658946   36.944    0.924    -3.000    -3.000    0.813 | -5.132    2.671    0.320
1768819186.693592   24.092    0.602    -0.918    -2.713    -0.797 | -5.209    2.628    0.315
1768819186.722434   31.022    0.776    -3.000    -2.739    -0.445 | -5.209    2.628    0.315
1768819186.752219   8.101    0.203    -3.000    -2.877    0.088 | -5.283    2.621    0.311
1768819186.788006   12.201    0.305    -2.960    -2.840    0.485 | -5.283    2.621    0.311
1768819186.826307   5.384    0.135    -3.000    -1.483    0.607 | -5.348    2.647    0.307
1768819186.855370   35.543    0.889    -1.692    -3.000    -0.106 | -5.348    2.647    0.307
1768819186.883555   40.000    1.000    -2.870    -2.171    -0.577 | -5.423    2.692    0.301
1768819186.914843   9.669    0.242    -0.262    -2.196    -0.783 | -5.423    2.692    0.301
1768819186.947442   40.000    1.000    -1.873    -2.628    -0.023 | -5.483    2.743    0.297
1768819186.982003   34.065    0.852    -3.000    -2.550    0.493 | -5.483    2.743    0.297
1768819187.012562   38.300    0.957    -3.000    -0.159    0.497 | -5.535    2.798    0.292
1768819187.041190   9.762    0.244    -2.691    -2.283    0.211 | -5.555    2.828    0.290
1768819187.070301   27.455    0.686    -2.712    -0.280    -0.790 | -5.555    2.828    0.290
1768819187.117611   37.648    0.941    -2.912    -3.000    -0.521 | -5.581    2.912    0.284
1768819187.152133   5.121    0.128    -3.000    -1.022    -0.330 | -5.581    2.912    0.284
1768819187.180288   32.671    0.817    -3.000    -2.225    -1.000 | -5.606    2.992    0.280
1768819187.206960   1.864    0.047    -3.000    0.715    -0.718 | -5.606    2.992    0.280
1768819187.234941   11.019    0.275    -3.000    -0.477    -0.596 | -5.625    3.067    0.275
1768819187.263293   13.885    0.347    -2.918    -0.626    -0.792 | -5.625    3.067    0.275
1768819187.293340   18.742    0.469    -3.000    2.190    0.107 | -5.625    3.098    0.272
1768819187.321364   6.854    0.171    -3.000    0.375    -0.295 | -5.625    3.098    0.272
1768819187.349579   7.114    0.178    -2.562    -0.820    -0.366 | -5.615    3.130    0.268
1768819187.376896   32.213    0.805    -3.000    3.000    0.704 | -5.612    3.145    0.265
1768819187.407001   19.126    0.478    -3.000    3.000    0.283 | -5.612    3.145    0.265
1768819187.437585   1.140    0.029    -3.000    1.688    -1.000 | -5.626    3.157    0.261
1768819187.474123   0.000    0.000    -3.000    2.854    -0.827 | -5.626    3.157    0.261
1768819187.511323   3.037    0.076    -3.000    -0.663    0.717 | -5.643    3.171    0.257
1768819187.551639   35.300    0.882    -2.684    3.000    -0.227 | -5.643    3.171    0.257
1768819187.587444   20.803    0.520    -3.000    2.831    -0.010 | -5.648    3.182    0.254
1768819187.616020   3.045    0.076    -3.000    2.850    -0.510 | -5.648    3.182    0.254
1768819187.648613   0.000    0.000    -3.000    3.000    -0.629 | -5.638    3.206    0.252
1768819187.677870   16.934    0.423    -2.480    3.000    0.119 | -5.638    3.206    0.252
1768819187.705604   21.486    0.537    -3.000    2.559    0.711 | -5.608    3.247    0.249
1768819187.734114   39.819    0.995    0.051    1.255    -0.955 | -5.608    3.247    0.249
1768819187.760579   30.356    0.759    -1.980    3.000    -0.337 | -5.567    3.316    0.246
1768819187.789680   40.000    1.000    -3.000    2.077    -0.388 | -5.567    3.316    0.246
1768819187.822517   18.176    0.454    -2.693    -0.399    -0.589 | -5.519    3.382    0.244
1768819187.859360   1.588    0.040    -3.000    1.420    0.920 | -5.519    3.382    0.244
1768819187.886461   6.372    0.159    -3.000    3.000    0.110 | -5.496    3.432    0.242
1768819187.912347   28.081    0.702    -2.788    3.000    0.491 | -5.496    3.432    0.242
1768819187.940558   7.224    0.181    -3.000    3.000    -1.000 | -5.432    3.566    0.240
1768819187.969179   9.763    0.244    -3.000    1.653    -0.352 | -5.432    3.566    0.240
1768819187.999295   0.870    0.022    -3.000    2.151    0.165 | -5.395    3.641    0.239
1768819188.023705   23.010    0.575    -3.000    3.000    0.704 | -5.395    3.641    0.239
1768819188.057526   10.799    0.270    -3.000    2.824    -0.878 | -5.328    3.763    0.237
1768819188.088791   19.965    0.499    -3.000    2.468    -0.885 | -5.328    3.763    0.237
1768819188.120559   20.745    0.519    -3.000    2.103    -1.000 | -5.247    3.882    0.235
1768819188.156327   36.056    0.901    -3.000    0.694    0.888 | -5.247    3.882    0.235
1768819188.188676   7.214    0.180    -3.000    -0.211    -0.664 | -5.178    3.976    0.234
1768819188.212967   29.894    0.747    -3.000    2.253    -0.252 | -5.178    3.976    0.234
1768819188.238925   14.783    0.370    -3.000    2.762    -0.548 | -5.114    4.077    0.232
1768819188.266411   13.152    0.329    -2.543    2.476    -0.948 | -5.114    4.077    0.232
1768819188.293632   32.137    0.803    -3.000    2.368    -0.729 | -5.082    4.173    0.230
1768819188.323547   13.932    0.348    -3.000    -1.633    -0.229 | -5.082    4.173    0.230
1768819188.350448   38.374    0.959    -2.986    2.195    -0.282 | -5.054    4.255    0.229
1768819188.375417   17.113    0.428    -3.000    3.000    -0.268 | -5.054    4.255    0.229
1768819188.401625   34.321    0.858    -3.000    2.245    0.535 | -5.014    4.365    0.227
1768819188.428245   13.399    0.335    -3.000    1.398    0.486 | -5.014    4.365    0.227
1768819188.462129   16.158    0.404    -3.000    2.538    0.980 | -4.979    4.449    0.226
1768819188.494153   6.646    0.166    -3.000    1.093    0.037 | -4.979    4.449    0.226
1768819188.525728   0.000    0.000    -3.000    -2.275    -0.411 | -4.934    4.562    0.225
1768819188.555895   8.627    0.216    -3.000    3.000    0.728 | -4.934    4.562    0.225
1768819188.583180   13.211    0.330    -3.000    1.534    0.280 | -4.884    4.683    0.223
1768819188.613793   40.000    1.000    -3.000    2.838    -0.688 | -4.884    4.683    0.223
1768819188.649307   27.453    0.686    -3.000    2.788    -0.206 | -4.849    4.794    0.221
1768819188.680870   0.000    0.000    -3.000    0.083    -0.537 | -4.849    4.794    0.221
1768819188.706171   14.943    0.374    -3.000    2.928    -1.000 | -4.820    4.908    0.219
1768819188.732332   33.265    0.832    -3.000    1.343    0.717 | -4.806    4.971    0.219
1768819188.757272   14.265    0.357    -3.000    2.960    -0.611 | -4.806    4.971    0.219
1768819188.795002   4.103    0.103    -3.000    -0.028    0.261 | -4.785    5.087    0.217
1768819188.832217   37.193    0.930    -2.483    1.681    -0.956 | -4.785    5.087    0.217
1768819188.875810   25.342    0.634    -3.000    3.000    -0.526 | -4.756    5.213    0.216
1768819188.904191   23.736    0.593    -3.000    -1.623    -0.583 | -4.756    5.213    0.216
1768819188.928356   39.309    0.983    -2.918    0.285    0.312 | -4.716    5.387    0.214
1768819188.956049   35.118    0.878    -2.903    -0.235    0.801 | -4.716    5.387    0.214
1768819188.981129   9.775    0.244    -3.000    -1.406    -0.268 | -4.633    5.595    0.214
1768819189.007237   40.000    1.000    -3.000    -2.407    -0.868 | -4.633    5.595    0.214
1768819189.040332   10.800    0.270    -3.000    -1.327    -0.450 | -4.555    5.743    0.213
1768819189.072868   17.778    0.444    -3.000    2.559    -1.000 | -4.555    5.743    0.213
1768819189.106348   0.000    0.000    -3.000    1.960    -0.458 | -4.495    5.856    0.213
1768819189.138615   9.554    0.239    -2.946    2.528    0.031 | -4.495    5.856    0.213
1768819189.166991   33.324    0.833    -2.937    -2.602    -0.421 | -4.338    6.062    0.212
1768819189.201762   23.491    0.587    -3.000    -1.665    0.206 | -4.338    6.062    0.212
1768819189.234586   1.075    0.027    -2.665    2.079    -1.000 | -4.231    6.183    0.211
1768819189.272148   25.337    0.633    -3.000    -0.729    -1.000 | -4.231    6.183    0.211
1768819189.300578   2.996    0.075    -2.749    -2.060    0.713 | -4.176    6.246    0.211
1768819189.327706   40.000    1.000    -3.000    3.000    -0.645 | -4.176    6.246    0.211
1768819189.352846   26.243    0.656    -3.000    0.555    -0.538 | -4.073    6.366    0.210
1768819189.378396   9.511    0.238    -3.000    0.636    -0.558 | -4.073    6.366    0.210
1768819189.409241   40.000    1.000    -3.000    2.849    -0.022 | -4.022    6.425    0.208
1768819189.436133   3.945    0.099    -3.000    -1.244    0.717 | -4.022    6.425    0.208
1768819189.465212   36.867    0.922    -2.724    2.004    -1.000 | -3.987    6.467    0.207
1768819189.494404   40.000    1.000    -2.956    -1.077    -1.000 | -3.987    6.467    0.207
1768819189.520060   0.000    0.000    -2.933    -0.268    -0.926 | -3.952    6.526    0.204
1768819189.551949   26.709    0.668    -3.000    0.222    0.122 | -3.952    6.526    0.204
1768819189.632061   16.380    0.410    -2.668    0.597    -0.605 | -3.915    6.604    0.202
1768819189.666298   34.776    0.869    -3.000    0.614    -0.635 | -3.915    6.604    0.202
1768819189.704272   32.557    0.814    -3.000    -3.000    -0.903 | -3.868    6.702    0.200
1768819189.750767   34.471    0.862    -3.000    2.417    0.153 | -3.868    6.702    0.200
1768819189.791688   30.662    0.767    -2.866    1.816    -0.582 | -3.838    6.786    0.199
1768819189.831471   14.697    0.367    -3.000    -0.079    -0.735 | -3.838    6.786    0.199
1768819189.876176   39.447    0.986    -2.643    -2.406    0.691 | -3.818    6.870    0.197
1768819189.909057   40.000    1.000    -2.742    -0.642    0.275 | -3.818    6.870    0.197
1768819189.953683   17.364    0.434    -3.000    3.000    0.785 | -3.797    6.979    0.195
1768819190.006944   0.000    0.000    -3.000    0.932    0.223 | -3.797    6.979    0.195
1768819190.046298   6.054    0.151    -2.676    -3.000    -0.831 | -3.780    7.047    0.194
1768819190.080578   10.661    0.267    -2.829    1.388    0.834 | -3.780    7.047    0.194
1768819190.110655   16.683    0.417    -3.000    0.503    0.637 | -3.743    7.156    0.192
1768819190.150803   23.521    0.588    -2.945    -1.686    -0.798 | -3.743    7.156    0.192
1768819190.180348   29.681    0.742    -2.999    -0.656    0.467 | -3.720    7.244    0.191
1768819190.216695   38.314    0.958    -3.000    0.362    0.124 | -3.720    7.244    0.191
1768819190.245978   29.536    0.738    -2.731    -0.998    0.367 | -3.702    7.316    0.189
1768819190.283903   5.525    0.138    -3.000    -0.237    0.206 | -3.702    7.316    0.189
1768819190.325403   16.203    0.405    -2.655    2.013    -0.203 | -3.666    7.412    0.187
1768819190.365787   11.283    0.282    -2.764    -0.493    -0.232 | -3.666    7.412    0.187
1768819190.396646   17.450    0.436    -3.000    -2.294    -0.188 | -3.653    7.490    0.185
1768819190.429058   35.216    0.880    -2.419    -0.163    -0.038 | -3.653    7.490    0.185
1768819190.456321   13.660    0.342    -3.000    1.563    0.825 | -3.646    7.546    0.183
1768819190.484391   40.000    1.000    -2.915    2.214    -0.561 | -3.646    7.546    0.183
1768819190.520371   12.476    0.312    -3.000    2.104    0.417 | -3.637    7.587    0.182
1768819190.548545   7.081    0.177    -3.000    -1.925    0.762 | -3.637    7.587    0.182
1768819190.603247   17.619    0.440    -3.000    -2.105    0.019 | -3.650    7.630    0.180
1768819190.628684   29.172    0.729    -2.795    3.000    -0.479 | -3.650    7.630    0.180
1768819190.653880   16.232    0.406    -2.896    1.340    0.315 | -3.682    7.660    0.179
1768819190.689647   21.786    0.545    -2.922    3.000    0.353 | -3.682    7.660    0.179
