time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
19.848000   7.842    0.196    -2.987    3.000    -1.000 | -0.047    -0.011    0.003
19.876000   0.000    0.000    -2.664    2.718    -1.000 | -0.047    -0.006    0.006
19.900000   10.249    0.256    -2.952    3.000    -1.000 | -0.048    -0.002    0.008
19.928000   34.298    0.857    -3.000    1.685    -1.000 | -0.048    0.000    0.009
19.956000   29.834    0.746    -3.000    -1.671    -0.933 | -0.049    0.002    0.009
19.976000   4.517    0.113    -2.607    -0.056    -1.000 | -0.049    0.003    0.010
20.000000   12.017    0.300    -3.000    -2.029    -1.000 | -0.049    0.003    0.010
20.020000   0.000    0.000    1.564    -1.658    -0.968 | -0.049    0.004    0.010
20.044000   27.742    0.694    -3.000    3.000    -1.000 | -0.049    0.004    0.010
20.072000   22.866    0.572    -2.478    -1.602    -1.000 | -0.050    0.004    0.010
20.104000   30.962    0.774    0.082    -0.533    -0.938 | -0.050    0.004    0.010
20.124000   23.862    0.597    -3.000    -0.063    -1.000 | -0.050    0.004    0.010
20.152000   9.352    0.234    -2.876    -0.770    -1.000 | -0.051    0.004    0.010
20.172000   25.762    0.644    -1.220    1.393    -1.000 | -0.051    0.004    0.009
20.204000   34.382    0.860    2.369    -1.610    -0.928 | -0.051    0.005    0.009
20.236000   40.000    1.000    2.009    2.208    -0.836 | -0.051    0.005    0.009
20.256000   13.416    0.335    -2.800    0.620    -1.000 | -0.051    0.005    0.008
20.280000   11.037    0.276    -2.160    -1.748    -0.974 | -0.051    0.005    0.008
20.308000   33.140    0.828    -3.000    -1.356    -1.000 | -0.051    0.005    0.008
20.336000   27.174    0.679    -2.913    0.254    -1.000 | -0.052    0.005    0.007
20.364000   3.511    0.088    -2.887    -2.751    -0.934 | -0.052    0.005    0.007
20.396000   36.785    0.920    -2.616    0.524    -0.990 | -0.052    0.006    0.008
20.412000   0.000    0.000    -2.800    -3.000    -1.000 | -0.053    0.006    0.008
20.440000   20.201    0.505    -2.810    -2.735    -1.000 | -0.053    0.006    0.008
20.464000   12.910    0.323    0.079    -2.486    -1.000 | -0.052    0.007    0.007
20.492000   25.105    0.628    -2.942    -2.650    -1.000 | -0.053    0.007    0.007
20.520000   0.000    0.000    -1.491    -2.011    -0.833 | -0.054    0.007    0.007
20.544000   15.301    0.383    0.502    -3.000    -1.000 | -0.055    0.007    0.008
20.564000   0.000    0.000    -0.644    -3.000    -1.000 | -0.056    0.006    0.008
20.592000   25.556    0.639    -0.672    -3.000    -0.958 | -0.056    0.006    0.008
20.616000   25.310    0.633    0.637    -2.324    -0.982 | -0.056    0.006    0.008
20.640000   0.000    0.000    -0.286    -2.585    -0.919 | -0.057    0.006    0.008
20.672000   15.551    0.389    -2.933    -3.000    -0.776 | -0.058    0.006    0.008
20.696000   9.399    0.235    -3.000    1.728    -0.898 | -0.058    0.006    0.008
20.728000   0.000    0.000    1.374    -0.768    -0.970 | -0.058    0.006    0.008
20.756000   2.828    0.071    2.224    -1.328    -1.000 | -0.059    0.006    0.009
20.780000   19.005    0.475    1.011    -3.000    -1.000 | -0.059    0.006    0.009
20.804000   17.035    0.426    2.429    -2.426    -1.000 | -0.059    0.006    0.009
20.828000   15.248    0.381    -3.000    0.040    -0.827 | -0.059    0.006    0.009
20.852000   26.114    0.653    -1.904    -0.585    -1.000 | -0.060    0.006    0.009
20.880000   0.000    0.000    2.515    -2.808    -1.000 | -0.060    0.006    0.009
20.904000   29.369    0.734    1.132    -2.046    -1.000 | -0.060    0.006    0.009
20.932000   22.229    0.556    2.642    -1.730    -0.879 | -0.060    0.006    0.010
20.956000   20.386    0.510    2.025    0.824    -1.000 | -0.060    0.006    0.010
20.980000   25.799    0.645    1.480    1.772    -1.000 | -0.060    0.006    0.010
21.008000   22.719    0.568    -0.225    2.403    -1.000 | -0.060    0.006    0.010
21.036000   10.668    0.267    2.014    -1.920    -1.000 | -0.060    0.008    0.010
21.056000   4.406    0.110    1.743    0.440    -0.970 | -0.061    0.008    0.010
21.080000   31.367    0.784    -0.142    2.382    -0.907 | -0.060    0.007    0.010
21.104000   20.315    0.508    -2.784    1.624    -1.000 | -0.060    0.008    0.011
21.132000   16.808    0.420    -1.098    0.430    -1.000 | -0.060    0.008    0.011
21.156000   40.000    1.000    -1.799    -1.988    -0.770 | -0.060    0.007    0.012
21.180000   21.302    0.533    -2.767    3.000    -0.894 | -0.060    0.007    0.012
21.212000   21.641    0.541    -3.000    -1.682    -1.000 | -0.060    0.007    0.013
21.236000   12.790    0.320    -2.835    0.005    -0.941 | -0.060    0.007    0.013
21.264000   4.939    0.123    -2.614    -2.212    -0.996 | -0.060    0.007    0.013
21.292000   0.000    0.000    -0.577    -0.477    -1.000 | -0.059    0.007    0.014
21.316000   24.455    0.611    -3.000    -1.989    -0.962 | -0.057    0.008    0.014
21.344000   19.167    0.479    -1.813    -1.173    -1.000 | -0.057    0.008    0.015
21.360000   17.253    0.431    1.874    -2.080    -0.809 | -0.057    0.007    0.016
21.392000   7.692    0.192    -2.862    1.515    -0.990 | -0.058    0.006    0.017
21.416000   9.599    0.240    -1.994    -2.949    -1.000 | -0.058    0.006    0.017
21.440000   14.679    0.367    -2.045    -3.000    -1.000 | -0.058    0.007    0.018
21.464000   15.719    0.393    0.763    -2.916    -1.000 | -0.058    0.007    0.018
21.488000   2.706    0.068    -3.000    -2.495    -0.903 | -0.057    0.006    0.019
21.516000   18.386    0.460    -3.000    -3.000    -1.000 | -0.056    0.006    0.020
21.540000   14.135    0.353    -0.197    -3.000    -1.000 | -0.056    0.006    0.020
21.568000   0.000    0.000    0.333    -0.538    -1.000 | -0.056    0.006    0.020
21.588000   26.484    0.662    0.820    -2.822    -0.899 | -0.054    0.006    0.020
21.612000   6.873    0.172    0.627    -2.506    -1.000 | -0.054    0.007    0.020
21.640000   30.593    0.765    -0.409    -2.623    -1.000 | -0.053    0.007    0.020
21.660000   19.206    0.480    1.248    -3.000    -1.000 | -0.052    0.007    0.020
21.684000   39.302    0.983    1.089    -3.000    -1.000 | -0.052    0.007    0.020
21.716000   29.253    0.731    -0.833    -3.000    -1.000 | -0.051    0.008    0.019
21.740000   23.403    0.585    2.705    -2.206    -0.813 | -0.052    0.010    0.018
21.768000   6.934    0.173    2.039    -1.171    -0.919 | -0.052    0.012    0.016
21.796000   23.756    0.594    1.866    -2.293    -1.000 | -0.054    0.017    0.013
21.820000   38.021    0.951    2.291    -2.688    -0.985 | -0.055    0.022    0.010
21.848000   22.494    0.562    2.429    1.095    -0.970 | -0.058    0.029    0.006
21.868000   29.747    0.744    2.953    -1.220    -1.000 | -0.059    0.034    0.003
21.892000   25.848    0.646    3.000    -0.520    -1.000 | -0.059    0.034    0.003
21.916000   3.373    0.084    2.907    -1.279    -1.000 | -0.063    0.046    -0.003
21.936000   0.983    0.025    -0.512    -2.148    -1.000 | -0.065    0.054    -0.006
21.968000   7.410    0.185    1.889    1.556    -0.827 | -0.065    0.054    -0.006
21.996000   17.254    0.431    0.994    -0.865    -1.000 | -0.070    0.074    -0.014
22.024000   11.737    0.293    1.164    1.979    -1.000 | -0.071    0.083    -0.016
