time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
26.544000   16.676    0.417    -1.437    -3.000    0.176 | 3.920    -3.812    -0.049
26.568000   0.000    0.000    -3.000    -1.278    0.931 | 3.834    -3.869    -0.039
26.592000   25.834    0.646    -2.920    -1.888    0.417 | 3.744    -3.929    -0.023
26.620000   21.166    0.529    0.203    1.265    0.511 | 3.744    -3.929    -0.023
26.644000   37.111    0.928    -0.192    0.993    -0.713 | 3.554    -4.065    0.034
26.672000   29.991    0.750    1.362    0.647    0.738 | 3.420    -4.170    0.086
26.700000   37.252    0.931    0.831    -2.881    0.763 | 3.285    -4.285    0.148
26.724000   39.035    0.976    -0.067    -1.383    0.955 | 3.218    -4.346    0.184
26.752000   9.403    0.235    -2.971    -3.000    0.261 | 3.083    -4.472    0.263
26.772000   28.713    0.718    -1.742    -2.479    0.790 | 2.982    -4.570    0.327
26.792000   12.217    0.305    -2.603    -3.000    -0.069 | 2.982    -4.570    0.327
26.816000   30.084    0.752    -0.073    -0.931    -0.314 | 2.850    -4.705    0.420
26.844000   5.999    0.150    -1.712    -2.000    -0.348 | 2.720    -4.845    0.520
26.876000   38.443    0.961    -2.951    -2.373    -0.781 | 2.566    -5.029    0.651
26.904000   35.398    0.885    -2.081    -3.000    0.431 | 2.478    -5.144    0.734
26.924000   35.822    0.896    -2.657    0.862    0.752 | 2.422    -5.223    0.791
26.956000   0.639    0.016    -2.878    1.098    -0.033 | 2.316    -5.387    0.908
26.984000   9.207    0.230    -3.000    -1.683    -0.228 | 2.217    -5.562    1.028
27.016000   3.178    0.079    -0.982    2.387    -0.326 | 2.139    -5.682    1.108
27.044000   36.005    0.900    -3.000    -1.933    -1.000 | 2.005    -5.785    1.167
27.068000   36.005    0.900    -1.896    -1.265    -0.982 | 1.855    -5.878    1.234
27.088000   0.000    0.000    -0.787    -1.352    -0.832 | 1.763    -5.911    1.272
27.112000   11.169    0.279    -2.481    -1.437    0.622 | 1.672    -5.947    1.311
27.136000   19.588    0.490    -2.589    -1.841    -0.033 | 1.490    -6.030    1.394
27.164000   39.717    0.993    -1.623    -1.528    -0.019 | 1.399    -6.075    1.439
27.188000   22.337    0.558    -0.923    1.269    -0.521 | 1.219    -6.178    1.526
27.216000   21.460    0.537    1.157    -0.427    -0.507 | 1.131    -6.235    1.569
27.244000   1.623    0.041    -2.063    1.242    0.573 | 0.965    -6.358    1.645
27.276000   2.557    0.064    2.106    -0.542    -0.865 | 0.822    -6.502    1.709
27.304000   20.033    0.501    1.933    2.114    -1.000 | 0.699    -6.665    1.763
27.328000   1.437    0.036    0.427    1.923    -0.596 | 0.646    -6.753    1.786
27.352000   0.000    0.000    1.130    3.000    -0.229 | 0.553    -6.939    1.823
27.372000   19.122    0.478    3.000    1.351    -0.854 | 0.553    -6.939    1.823
27.400000   9.714    0.243    1.255    3.000    -1.000 | 0.446    -7.240    1.863
27.428000   32.327    0.808    0.760    3.000    -0.873 | 0.405    -7.398    1.879
27.456000   2.955    0.074    0.836    3.000    -0.730 | 0.369    -7.549    1.873
27.488000   28.125    0.703    1.265    3.000    -1.000 | 0.318    -7.770    1.792
27.508000   0.694    0.017    0.898    2.991    0.432 | 0.310    -7.815    1.775
27.532000   19.816    0.495    0.133    2.908    -0.703 | 0.288    -7.993    1.707
27.552000   34.436    0.861    2.475    2.388    -0.779 | 0.282    -8.082    1.675
27.576000   26.908    0.673    1.355    3.000    0.811 | 0.279    -8.213    1.625
27.600000   14.684    0.367    2.515    2.875    0.041 | 0.283    -8.345    1.577
27.628000   31.558    0.789    -0.558    2.868    -0.728 | 0.295    -8.479    1.531
27.656000   8.168    0.204    1.502    2.740    -0.985 | 0.326    -8.664    1.477
27.680000   0.000    0.000    -1.741    3.000    -0.454 | 0.359    -8.809    1.440
27.704000   25.133    0.628    3.000    3.000    -1.000 | 0.387    -8.931    1.392
27.736000   7.421    0.186    0.074    2.368    -0.907 | 0.412    -9.131    1.321
27.760000   24.513    0.613    3.000    3.000    -0.894 | 0.414    -9.290    1.228
27.780000   28.445    0.711    -0.559    3.000    -0.427 | 0.414    -9.290    1.228
27.804000   30.091    0.752    1.139    3.000    0.147 | 0.424    -9.615    1.051
27.828000   19.639    0.491    -2.539    3.000    0.494 | 0.429    -9.726    0.996
27.852000   40.000    1.000    -0.086    2.987    0.727 | 0.442    -9.953    0.894
27.880000   18.939    0.473    0.667    3.000    0.791 | 0.466    -10.184    0.801
27.904000   37.409    0.935    -2.704    3.000    -0.433 | 0.482    -10.300    0.758
27.920000   6.654    0.166    -1.343    2.961    -0.575 | 0.516    -10.474    0.698
27.952000   16.205    0.405    1.902    3.000    0.296 | 0.516    -10.474    0.698
27.980000   0.000    0.000    2.989    2.760    -0.997 | 0.631    -10.876    0.579
28.004000   0.000    0.000    2.949    2.150    -0.587 | 0.695    -11.047    0.539
28.032000   30.568    0.764    0.622    1.698    -0.772 | 0.766    -11.215    0.505
28.056000   15.415    0.385    2.975    0.182    -0.339 | 0.766    -11.215    0.505
28.084000   18.336    0.458    3.000    2.682    -0.107 | 0.953    -11.600    0.458
28.112000   29.464    0.737    2.771    1.477    -0.716 | 1.039    -11.760    0.452
28.140000   14.763    0.369    3.000    -0.231    -0.829 | 1.150    -11.966    0.450
28.160000   40.000    1.000    2.688    2.218    -0.506 | 1.196    -12.059    0.438
28.188000   0.000    0.000    0.983    -1.511    -0.872 | 1.107    -12.154    0.078
28.216000   40.000    1.000    2.968    0.632    0.837 | 1.107    -12.154    0.078
28.244000   39.836    0.996    3.000    1.519    -0.941 | 0.999    -12.267    -0.333
28.272000   22.229    0.556    2.889    3.000    -0.478 | 0.945    -12.326    -0.526
28.292000   0.000    0.000    2.910    -1.800    0.704 | 0.891    -12.385    -0.711
28.320000   21.123    0.528    3.000    2.336    0.325 | 0.837    -12.447    -0.891
28.348000   27.853    0.696    3.000    0.920    -0.504 | 0.793    -12.522    -1.069
28.368000   10.687    0.267    3.000    3.000    0.257 | 0.753    -12.641    -1.306
28.400000   1.313    0.033    3.000    2.376    1.000 | 0.731    -12.777    -1.540
28.424000   40.000    1.000    3.000    3.000    0.791 | 0.727    -12.852    -1.656
28.448000   17.697    0.442    3.000    0.607    -0.246 | 0.730    -13.015    -1.882
28.480000   39.237    0.981    2.679    2.103    -0.653 | 0.747    -13.191    -2.101
28.504000   0.000    0.000    2.177    -0.271    0.602 | 0.760    -13.283    -2.208
28.532000   18.241    0.456    2.072    2.417    0.679 | 0.760    -13.283    -2.208
28.560000   3.414    0.085    -1.420    0.721    -0.576 | 0.831    -13.673    -2.602
28.580000   29.367    0.734    3.000    -0.274    -0.294 | 0.851    -13.775    -2.692
28.604000   16.233    0.406    3.000    2.800    0.453 | 0.885    -13.931    -2.821
28.628000   22.704    0.568    2.684    -1.286    0.076 | 0.923    -14.087    -2.942
28.660000   40.000    1.000    2.945    0.477    -0.709 | 0.977    -14.294    -3.092
28.688000   36.443    0.911    2.772    -0.483    -0.266 | 0.977    -14.294    -3.092
28.712000   31.394    0.785    2.450    -1.141    0.124 | 1.070    -14.606    -3.289
28.732000   0.000    0.000    2.036    1.652    0.493 | 1.070    -14.606    -3.289
28.760000   17.471    0.437    2.259    1.844    0.334 | 1.181    -14.920    -3.455
28.788000   16.272    0.407    2.275    0.774    -0.947 | 1.268    -15.131    -3.548
28.812000   9.314    0.233    2.946    0.457    1.000 | 1.268    -15.131    -3.548
28.840000   27.215    0.680    1.564    0.639    -0.219 | 1.411    -15.452    -3.662
28.864000   31.227    0.781    2.102    2.158    -0.095 | 1.485    -15.613    -3.709
28.888000   34.342    0.859    1.839    3.000    -0.724 | 1.561    -15.775    -3.747
28.912000   0.000    0.000    1.486    0.792    0.821 | 1.637    -15.937    -3.779
28.940000   37.964    0.949    1.077    -0.133    0.912 | 1.738    -16.157    -3.809
28.968000   2.795    0.070    -1.656    2.655    -0.396 | 1.789    -16.269    -3.819
28.988000   10.703    0.268    0.525    3.000    0.169 | 1.867    -16.438    -3.827
29.012000   20.554    0.514    -0.062    3.000    1.000 | 1.943    -16.609    -3.828
29.036000   40.000    1.000    -0.108    3.000    0.345 | 2.018    -16.783    -3.821
29.060000   19.067    0.477    1.045    -0.420    0.409 | 2.115    -17.019    -3.801
29.092000   21.714    0.543    2.356    3.000    0.761 | 2.115    -17.019    -3.801
29.120000   26.199    0.655    -0.602    2.072    1.000 | 2.273    -17.443    -3.734
29.148000   29.561    0.739    -3.000    2.575    1.000 | 2.318    -17.568    -3.707
29.172000   4.103    0.103    -2.267    3.000    0.959 | 2.405    -17.821    -3.642
29.196000   7.588    0.190    0.065    3.000    -0.561 | 2.468    -18.015    -3.583
29.224000   8.462    0.212    -1.092    1.439    0.881 | 2.531    -18.213    -3.515
29.252000   30.169    0.754    0.442    1.678    0.830 | 2.634    -18.553    -3.382
29.276000   11.598    0.290    1.012    -1.589    -0.085 | 2.693    -18.761    -3.292
29.300000   8.904    0.223    0.072    1.102    0.092 | 2.731    -18.901    -3.227
29.328000   26.021    0.651    2.542    -0.228    1.000 | 2.784    -19.115    -3.123
29.356000   24.129    0.603    2.446    1.730    0.495 | 2.866    -19.478    -2.931
29.384000   4.539    0.113    3.000    1.369    0.357 | 2.911    -19.700    -2.805
29.408000   40.000    1.000    2.563    2.144    0.315 | 2.965    -20.002    -2.624
29.428000   13.104    0.328    2.595    -2.243    0.682 | 2.990    -20.155    -2.528
29.460000   40.000    1.000    2.677    0.377    0.798 | 3.036    -20.469    -2.324
29.492000   36.460    0.912    2.106    2.849    0.705 | 3.065    -20.708    -2.161
29.516000   2.075    0.052    3.000    2.853    -0.315 | 3.092    -20.952    -1.991
29.540000   9.457    0.236    2.236    0.848    0.962 | 3.116    -21.201    -1.813
29.568000   19.024    0.476    2.533    1.099    0.559 | 3.116    -21.201    -1.813
29.592000   30.961    0.774    3.000    -0.758    -0.068 | 3.189    -21.928    -1.283
29.624000   33.997    0.850    -0.586    3.000    -0.479 | 3.207    -22.277    -1.006
29.656000   33.879    0.847    1.605    2.336    0.875 | 3.223    -22.719    -0.643
29.684000   10.558    0.264    3.000    1.624    0.834 | 3.231    -22.988    -0.415
29.712000   29.438    0.736    2.153    2.829    0.606 | 3.237    -23.259    -0.179
29.736000   17.825    0.446    2.492    3.000    -0.146 | 3.240    -23.441    -0.016
29.764000   3.071    0.077    1.340    2.573    0.793 | 3.234    -23.900    0.417
29.784000   6.659    0.166    2.518    3.000    1.000 | 3.234    -24.084    0.596
29.812000   9.036    0.226    2.685    3.000    0.944 | 3.238    -24.455    0.965
29.840000   0.000    0.000    1.320    2.539    1.000 | 3.238    -24.455    0.965
29.868000   27.623    0.691    2.769    -0.513    0.324 | 3.681    -24.890    1.048
29.888000   10.021    0.251    3.000    1.414    0.079 | 3.932    -25.021    1.042
29.912000   38.052    0.951    3.000    3.000    0.858 | 4.183    -25.150    1.045
29.944000   25.158    0.629    0.112    2.048    0.784 | 4.438    -25.276    1.057
29.968000   0.000    0.000    2.755    3.000    -0.005 | 4.698    -25.399    1.078
30.000000   17.952    0.449    -1.447    2.752    0.380 | 5.044    -25.573    1.116
30.020000   8.322    0.208    2.011    2.136    0.072 | 5.295    -25.720    1.147
30.040000   19.753    0.494    0.170    2.816    0.777 | 5.377    -25.773    1.157
30.060000   40.000    1.000    -2.936    2.915    -0.409 | 5.689    -26.001    1.194
30.096000   28.537    0.713    1.449    3.000    0.691 | 5.689    -26.001    1.194
30.120000   14.683    0.367    -0.318    0.951    0.386 | 6.128    -26.386    1.241
30.144000   7.439    0.186    -1.091    2.664    0.596 | 6.404    -26.668    1.271
30.164000   23.589    0.590    -0.169    3.000    0.463 | 6.472    -26.742    1.279
30.196000   20.755    0.519    0.939    3.000    0.943 | 6.804    -27.125    1.319
30.228000   33.096    0.827    -1.528    3.000    0.326 | 6.804    -27.125    1.319
30.260000   18.524    0.463    0.282    2.270    0.879 | 7.404    -27.845    1.412
30.284000   35.538    0.888    -1.030    2.341    0.873 | 7.531    -28.012    1.436
30.312000   40.000    1.000    0.779    2.716    0.946 | 7.783    -28.353    1.490
30.328000   35.636    0.891    1.840    1.960    1.000 | 7.970    -28.613    1.538
30.352000   31.164    0.779    0.344    0.580    0.472 | 8.095    -28.786    1.573
30.380000   0.000    0.000    2.993    2.854    0.608 | 8.341    -29.138    1.649
30.412000   40.000    1.000    2.704    2.712    0.312 | 8.522    -29.405    1.713
30.436000   40.000    1.000    -1.941    1.223    0.673 | 8.708    -29.669    1.785
30.464000   31.653    0.791    -2.614    2.851    0.626 | 9.028    -30.104    1.924
30.496000   19.440    0.486    2.597    3.000    0.957 | 9.291    -30.444    2.049
30.520000   25.733    0.643    -2.758    2.323    -0.227 | 9.424    -30.612    2.115
30.544000   27.321    0.683    1.825    2.556    -0.657 | 9.753    -30.928    2.293
30.568000   21.372    0.534    -1.818    3.000    0.153 | 9.753    -30.928    2.293
30.588000   40.000    1.000    0.918    3.000    0.793 | 10.254    -31.287    2.597
30.616000   1.063    0.027    -0.351    2.671    0.680 | 10.254    -31.287    2.597
30.648000   8.401    0.210    0.149    1.617    -0.951 | 11.153    -31.777    3.276
30.672000   11.325    0.283    2.674    -0.273    0.444 | 11.489    -31.945    3.542
30.700000   14.536    0.363    1.985    3.000    0.102 | 11.928    -32.151    3.902
30.732000   31.708    0.793    -0.917    -0.572    0.170 | 12.136    -32.242    4.074
30.756000   17.292    0.432    -2.872    -0.311    -0.411 | 12.521    -32.405    4.381
30.784000   26.742    0.669    2.358    1.306    -0.971 | 12.775    -32.510    4.563
30.812000   19.109    0.478    2.321    -1.547    -0.566 | 13.071    -32.629    4.749
30.844000   0.000    0.000    -1.237    -2.066    -0.881 | 13.324    -32.724    4.878
30.868000   15.394    0.385    -1.520    3.000    0.164 | 13.436    -32.761    4.925
30.888000   38.397    0.960    0.139    1.117    -0.883 | 13.584    -32.804    4.974
30.908000   27.846    0.696    -3.000    2.749    -0.521 | 13.584    -32.804    4.974
30.936000   2.355    0.059    0.108    -1.382    -1.000 | 13.791    -32.847    5.008
30.964000   5.606    0.140    -3.000    -2.032    -1.000 | 13.888    -32.778    5.022
30.996000   34.130    0.853    -1.893    0.657    -0.165 | 13.970    -32.633    5.040
31.024000   25.281    0.632    -1.181    2.077    -0.590 | 14.016    -32.540    5.047
31.044000   11.241    0.281    -2.431    0.995    -0.442 | 14.061    -32.435    5.049
31.076000   40.000    1.000    -1.733    2.797    -0.710 | 14.110    -32.278    5.052
31.100000   34.844    0.871    -3.000    0.053    -0.404 | 14.138    -32.151    5.048
31.120000   16.186    0.405    -3.000    2.041    -0.709 | 14.155    -32.067    5.038
31.144000   16.934    0.423    0.776    -2.654    -0.838 | 14.174    -31.987    5.021
31.168000   22.937    0.573    -1.199    -3.000    -0.353 | 14.208    -31.871    4.982
31.196000   0.000    0.000    -2.936    1.570    -0.283 | 14.250    -31.718    4.912
31.224000   27.331    0.683    -2.558    -3.000    -0.909 | 14.280    -31.608    4.841
31.256000   29.603    0.740    -3.000    -0.222    -0.927 | 14.315    -31.464    4.722
31.276000   3.786    0.095    -3.000    -3.000    -0.994 | 14.340    -31.362    4.620
31.296000   32.511    0.813    -0.521    -3.000    -0.539 | 14.354    -31.294    4.546
31.320000   34.994    0.875    -2.676    -3.000    -1.000 | 14.371    -31.194    4.429
31.352000   31.998    0.800    -3.000    -3.000    -0.324 | 14.385    -31.076    4.257
31.376000   19.890    0.497    -2.800    -3.000    -0.345 | 14.385    -30.988    4.118
31.400000   0.000    0.000    -3.000    -3.000    -0.947 | 14.380    -30.932    4.024
31.420000   40.000    1.000    -3.000    -2.704    -0.550 | 14.366    -30.858    3.880
31.440000   38.939    0.973    -2.705    -2.796    0.877 | 14.345    -30.792    3.735
31.472000   20.984    0.525    -3.000    -2.681    -0.403 | 14.298    -30.712    3.539
31.500000   0.000    0.000    -2.423    -2.921    -0.250 | 14.233    -30.642    3.344
31.520000   40.000    1.000    -2.719    -3.000    -0.009 | 14.192    -30.616    3.249
31.540000   35.890    0.897    -0.340    -3.000    -1.000 | 14.118    -30.588    3.107
31.568000   24.058    0.601    -3.000    -2.669    0.675 | 14.062    -30.577    3.016
31.592000   27.981    0.700    -1.644    -3.000    0.125 | 13.933    -30.564    2.837
31.612000   0.000    0.000    -2.969    -3.000    0.647 | 13.824    -30.568    2.710
31.640000   35.000    0.875    -0.368    -3.000    1.000 | 13.705    -30.580    2.589
31.668000   40.000    1.000    0.384    -3.000    -0.030 | 13.578    -30.606    2.477
31.692000   8.012    0.200    -2.714    -2.941    -0.452 | 13.406    -30.657    2.341
31.716000   25.838    0.646    0.134    -2.968    0.663 | 13.273    -30.703    2.247
31.748000   6.479    0.162    -0.864    -2.252    -0.569 | 13.141    -30.761    2.164
31.768000   30.272    0.757    0.890    -2.969    0.127 | 13.014    -30.831    2.092
31.800000   29.176    0.729    -2.039    -2.602    0.165 | 12.851    -30.939    2.009
31.820000   10.709    0.268    -2.236    -3.000    0.379 | 12.774    -30.999    1.973
31.848000   25.005    0.625    2.984    -2.751    0.233 | 12.774    -30.999    1.973
31.876000   22.937    0.573    3.000    -3.000    0.058 | 12.529    -31.236    1.867
31.900000   32.265    0.807    3.000    -3.000    1.000 | 12.418    -31.372    1.817
31.924000   6.004    0.150    2.464    -3.000    0.413 | 12.347    -31.477    1.782
31.948000   15.134    0.378    0.008    -2.758    0.357 | 12.347    -31.477    1.782
31.968000   29.646    0.741    3.000    -3.000    0.751 | 12.248    -31.677    1.715
32.000000   28.173    0.704    0.806    -2.929    -1.000 | 12.212    -31.773    1.677
32.024000   40.000    1.000    1.385    -3.000    -0.623 | 12.184    -31.894    1.630
32.056000   21.916    0.548    2.191    -3.000    -0.980 | 12.178    -32.004    1.585
32.076000   26.332    0.658    1.132    -3.000    -0.509 | 12.180    -32.029    1.574
32.100000   24.779    0.619    2.585    -3.000    0.775 | 12.202    -32.125    1.532
32.120000   35.275    0.882    2.784    -3.000    -0.134 | 12.220    -32.170    1.512
32.144000   30.443    0.761    -0.363    -3.000    0.069 | 12.220    -32.170    1.512
32.164000   26.522    0.663    -0.755    -3.000    0.245 | 12.281    -32.286    1.453
32.188000   5.608    0.140    -0.654    -3.000    -0.324 | 12.281    -32.286    1.453
32.216000   21.223    0.531    -2.069    -3.000    -0.437 | 12.357    -32.435    1.392
32.240000   29.990    0.750    0.791    -2.983    -1.000 | 12.378    -32.479    1.375
32.260000   13.509    0.338    -0.058    -3.000    -0.640 | 12.418    -32.560    1.344
32.280000   21.343    0.534    -1.548    -3.000    -1.000 | 12.428    -32.579    1.336
32.308000   36.936    0.923    -0.211    -3.000    -0.516 | 12.468    -32.656    1.307
32.336000   9.282    0.232    1.729    -3.000    -0.348 | 12.500    -32.711    1.286
32.364000   19.031    0.476    -2.453    -3.000    -0.160 | 12.547    -32.784    1.261
32.392000   21.637    0.541    -2.867    -3.000    -0.910 | 12.547    -32.784    1.261
32.420000   9.345    0.234    -0.805    -3.000    -0.808 | 12.611    -32.892    1.220
32.440000   26.411    0.660    -2.997    -3.000    0.962 | 12.624    -32.916    1.209
32.468000   29.256    0.731    -2.721    -3.000    0.015 | 12.641    -32.952    1.188
32.500000   16.966    0.424    -2.317    -3.000    0.203 | 12.653    -32.980    1.169
32.524000   1.971    0.049    -0.895    -2.814    0.098 | 12.658    -32.992    1.160
32.548000   27.876    0.697    -2.951    -3.000    -0.694 | 12.665    -33.005    1.143
32.576000   14.317    0.358    -2.704    -2.752    1.000 | 12.677    -33.009    1.128
32.600000   36.787    0.920    -3.000    -3.000    -0.442 | 12.677    -33.009    1.128
32.628000   0.000    0.000    -3.000    -2.924    -0.037 | 12.708    -33.008    1.109
32.652000   40.000    1.000    -2.800    -3.000    0.469 | 12.718    -33.007    1.100
32.680000   0.000    0.000    -1.613    -3.000    0.535 | 12.733    -33.006    1.093
32.708000   14.550    0.364    -2.505    -3.000    0.409 | 12.761    -33.001    1.085
32.728000   0.000    0.000    -2.729    -3.000    -0.744 | 12.787    -33.000    1.079
32.752000   38.470    0.962    0.470    -3.000    0.618 | 12.803    -33.003    1.076
32.776000   9.654    0.241    -3.000    -3.000    0.318 | 12.821    -33.004    1.071
32.800000   10.277    0.257    -1.674    -3.000    -0.315 | 12.821    -33.004    1.071
32.824000   9.667    0.242    -2.471    -3.000    0.597 | 12.841    -32.998    1.063
32.852000   1.052    0.026    -3.000    -2.929    0.769 | 12.851    -32.999    1.060
32.868000   35.390    0.885    -3.000    -2.969    -0.281 | 12.857    -33.002    1.056
32.888000   12.802    0.320    -2.524    -3.000    0.256 | 12.862    -33.004    1.055
32.916000   34.008    0.850    0.545    -3.000    0.774 | 12.862    -33.004    1.055
32.944000   40.000    1.000    -2.648    -2.942    0.867 | 12.863    -33.006    1.050
32.972000   0.000    0.000    -3.000    -3.000    0.375 | 12.846    -32.995    1.048
32.992000   40.000    1.000    -2.921    -2.987    0.597 | 12.839    -32.986    1.047
33.016000   0.000    0.000    -1.875    -3.000    0.880 | 12.829    -32.973    1.045
33.036000   23.441    0.586    -0.663    -3.000    -0.579 | 12.820    -32.958    1.044
33.064000   40.000    1.000    -3.000    -2.873    0.567 | 12.816    -32.949    1.044
33.088000   27.242    0.681    -2.296    -3.000    0.773 | 12.807    -32.936    1.043
33.112000   40.000    1.000    -2.055    -3.000    0.788 | 12.807    -32.936    1.043
33.140000   34.371    0.859    -0.265    -2.851    0.844 | 12.787    -32.910    1.042
33.160000   6.595    0.165    -3.000    -3.000    0.113 | 12.782    -32.898    1.041
33.188000   5.884    0.147    -3.000    -2.775    0.498 | 12.774    -32.881    1.041
33.212000   0.332    0.008    -2.935    -3.000    -0.678 | 12.769    -32.868    1.040
33.236000   0.000    0.000    0.804    -3.000    0.685 | 12.767    -32.841    1.040
33.268000   12.417    0.310    -2.621    -2.906    0.245 | 12.767    -32.841    1.040
33.296000   13.819    0.345    -3.000    -3.000    0.203 | 12.791    -32.798    1.038
33.316000   24.729    0.618    -3.000    -3.000    0.487 | 12.797    -32.794    1.038
33.336000   39.939    0.998    -1.474    -3.000    1.000 | 12.818    -32.785    1.038
33.364000   40.000    1.000    -2.625    -3.000    -0.374 | 12.843    -32.777    1.037
33.388000   21.859    0.546    -2.438    -3.000    1.000 | 12.887    -32.773    1.036
33.412000   4.904    0.123    -1.102    -3.000    0.898 | 12.927    -32.774    1.035
33.440000   11.622    0.291    -3.000    -3.000    0.293 | 12.975    -32.777    1.033
33.460000   26.437    0.661    -1.124    -3.000    0.395 | 13.030    -32.784    1.032
33.484000   31.695    0.792    -2.931    -2.599    -0.147 | 13.079    -32.797    1.031
33.500000   30.698    0.767    -0.443    -2.977    -0.984 | 13.127    -32.815    1.030
33.528000   26.479    0.662    -2.986    -2.930    0.006 | 13.127    -32.815    1.030
33.556000   32.804    0.820    -3.000    -3.000    1.000 | 13.209    -32.855    1.027
33.580000   0.000    0.000    1.809    -3.000    0.785 | 13.242    -32.885    1.026
33.608000   21.690    0.542    -0.287    -3.000    -0.030 | 13.242    -32.885    1.026
33.640000   36.843    0.921    0.813    -3.000    0.154 | 13.310    -32.961    1.023
33.660000   9.800    0.245    -3.000    -2.529    -0.847 | 13.344    -32.993    1.022
33.688000   3.661    0.092    -3.000    -2.989    0.746 | 13.364    -33.015    1.022
33.720000   28.533    0.713    -3.000    -3.000    -0.862 | 13.407    -33.062    1.020
33.744000   3.061    0.077    -3.000    -2.833    0.329 | 13.451    -33.097    1.019
33.768000   0.347    0.009    -2.744    -3.000    0.495 | 13.483    -33.120    1.018
33.788000   21.530    0.538    -2.329    -2.891    0.200 | 13.502    -33.133    1.017
33.816000   40.000    1.000    -2.836    -3.000    0.440 | 13.526    -33.148    1.016
33.844000   40.000    1.000    -2.210    -3.000    0.984 | 13.545    -33.161    1.010
33.864000   20.309    0.508    -2.666    -3.000    0.113 | 13.570    -33.157    1.008
33.888000   36.634    0.916    0.989    -3.000    1.000 | 13.582    -33.150    1.007
33.912000   35.293    0.882    -2.831    -2.847    -1.000 | 13.608    -33.131    1.005
33.936000   28.898    0.722    -1.607    -2.934    0.652 | 13.621    -33.118    1.004
33.960000   3.470    0.087    -2.938    -3.000    -0.143 | 13.651    -33.079    1.003
33.984000   20.090    0.502    -3.000    -3.000    -0.299 | 13.678    -33.032    1.000
34.000000   6.518    0.163    -3.000    -3.000    0.776 | 13.693    -32.999    0.999
34.024000   6.316    0.158    -2.104    -3.000    0.293 | 13.713    -32.947    0.997
34.044000   23.096    0.577    -0.347    -3.000    -0.263 | 13.724    -32.909    0.996
34.068000   16.125    0.403    -2.731    -3.000    1.000 | 13.737    -32.852    0.994
34.092000   7.270    0.182    -2.990    -3.000    -0.092 | 13.742    -32.791    0.992
34.116000   18.649    0.466    -0.199    -3.000    0.740 | 13.742    -32.750    0.991
34.144000   0.000    0.000    -0.982    -3.000    1.000 | 13.728    -32.674    0.989
34.172000   12.931    0.323    0.110    -3.000    0.397 | 13.709    -32.625    0.987
34.200000   15.418    0.385    -0.360    -3.000    0.534 | 13.677    -32.570    0.986
34.228000   13.803    0.345    -0.639    -3.000    0.371 | 13.642    -32.527    0.985
34.248000   40.000    1.000    -0.099    -2.843    0.858 | 13.623    -32.509    0.985
34.276000   40.000    1.000    -0.673    -2.940    1.000 | 13.583    -32.481    0.984
34.296000   0.000    0.000    3.000    -3.000    0.857 | 13.561    -32.472    0.984
34.328000   4.985    0.125    -0.024    -3.000    0.581 | 13.517    -32.468    0.984
34.356000   0.000    0.000    2.264    -3.000    0.467 | 13.468    -32.477    0.983
34.380000   8.660    0.217    0.262    -3.000    0.261 | 13.434    -32.479    0.982
34.408000   11.943    0.299    3.000    -2.301    0.317 | 13.402    -32.482    0.981
34.440000   3.048    0.076    3.000    -3.000    -0.805 | 13.366    -32.483    0.980
34.460000   40.000    1.000    3.000    -2.833    0.571 | 13.351    -32.482    0.979
34.484000   0.000    0.000    2.801    -3.000    0.990 | 13.351    -32.482    0.979
34.512000   31.033    0.776    3.000    -3.000    -0.580 | 13.306    -32.487    0.975
34.536000   0.000    0.000    3.000    -2.818    0.781 | 13.296    -32.493    0.974
34.560000   7.862    0.197    2.137    -3.000    -0.050 | 13.278    -32.502    0.972
34.584000   40.000    1.000    0.024    -3.000    -0.474 | 13.272    -32.508    0.970
34.608000   10.018    0.250    3.000    -2.262    0.518 | 13.272    -32.508    0.970
34.628000   0.328    0.008    3.000    -1.005    -0.246 | 13.272    -32.531    0.965
34.656000   40.000    1.000    3.000    -2.440    -0.039 | 13.272    -32.531    0.965
34.680000   1.444    0.036    3.000    -2.929    -0.265 | 13.294    -32.558    0.960
34.700000   8.363    0.209    3.000    0.013    -0.461 | 13.306    -32.568    0.959
34.728000   17.458    0.436    3.000    -2.062    -0.965 | 13.339    -32.592    0.955
34.748000   36.967    0.924    3.000    -2.542    0.882 | 13.373    -32.610    0.952
34.772000   22.930    0.573    3.000    -2.904    0.340 | 13.398    -32.621    0.950
34.800000   0.000    0.000    3.000    -1.454    0.786 | 13.457    -32.637    0.946
34.828000   33.956    0.849    3.000    -0.565    1.000 | 13.521    -32.647    0.942
34.852000   1.891    0.047    3.000    -0.403    0.058 | 13.555    -32.649    0.940
34.872000   5.043    0.126    3.000    -1.878    0.515 | 13.604    -32.647    0.937
34.896000   14.797    0.370    2.853    -1.878    0.631 | 13.604    -32.647    0.937
34.920000   31.908    0.798    3.000    -1.786    -0.069 | 13.709    -32.625    0.930
34.944000   15.673    0.392    3.000    -2.037    -0.121 | 13.748    -32.613    0.928
34.972000   12.034    0.301    3.000    -2.626    0.423 | 13.827    -32.580    0.923
35.000000   21.119    0.528    3.000    -0.048    0.322 | 13.901    -32.538    0.919
35.024000   32.208    0.805    2.852    0.439    0.842 | 13.950    -32.498    0.916
