time   comp_time_s     min_cost|   thrust_N   p_cmd   q_cmd   r_cmd|  x_enu   y_enu   z_enu| ref_x   ref_y   ref_z|   vx_enu  vy_enu  vz_enu|    ref_vx  ref_vy ref_vz
16.8360    0.0101     6139931.5000|  17.299   -1.035   0.041     1.000|  0.328    0.578    0.768|     0.000    0.000    0.496|  0.941    1.371    0.941|   0.000    0.000    0.788
16.8720    0.0127     7458204.0000|  18.225   -0.262   0.740     0.579|  0.353    0.632    0.799|     0.000    0.000    0.525|  1.015    1.455    0.992|   0.000    0.000    0.810
16.9080    0.0097     7557604.0000|  20.602   -0.671   1.218     0.839|  0.382    0.689    0.831|     0.000    0.000    0.554|  1.074    1.531    1.000|   0.000    0.000    0.832
16.9400    0.0138     5930158.0000|  17.716   0.470   0.357     0.722|  0.420    0.765    0.869|     0.000    0.000    0.581|  1.132    1.622    0.958|   0.000    0.000    0.853
16.9760    0.0107     4855336.0000|  14.390   0.255   -1.139     1.000|  0.462    0.844    0.907|     0.000    0.000    0.613|  1.201    1.741    0.981|   0.000    0.000    0.875
17.0120    0.0104     4048048.7500|  19.702   -0.841   0.304     0.908|  0.489    0.895    0.930|     0.000    0.000    0.644|  1.245    1.825    0.998|   0.000    0.000    0.897
17.0480    0.0096     3778004.5000|  22.413   1.307   0.553     0.446|  0.536    0.984    0.967|     0.000    0.000    0.677|  1.301    1.956    0.928|   0.000    0.000    0.920
17.0800    0.0142     2818937.5000|  20.875   0.766   0.499     0.483|  0.566    1.039    0.988|     0.000    0.000    0.707|  1.332    2.031    0.874|   0.000    0.000    0.940
17.1160    0.0120     2620033.0000|  22.018   1.774   -0.012     0.803|  0.619    1.137    1.021|     0.000    0.000    0.741|  1.402    2.187    0.892|   0.000    0.000    0.962
17.1520    0.0096     2654112.0000|  23.372   1.971   0.781     -0.156|  0.664    1.220    1.049|     0.000    0.000    0.776|  1.471    2.335    0.956|   0.000    0.000    0.985
17.1880    0.0123     2337915.0000|  20.592   -0.500   -0.881     0.183|  0.725    1.331    1.086|     0.000    0.000    0.812|  1.570    2.514    1.016|   0.000    0.000    1.008
17.2200    0.0103     3132377.7500|  21.996   0.760   1.970     0.916|  0.778    1.424    1.117|     0.000    0.000    0.845|  1.668    2.658    1.071|   0.000    0.000    1.028
17.2560    0.0120     3449715.0000|  16.769   -0.859   0.153     0.701|  0.850    1.548    1.159|     0.000    0.000    0.882|  1.817    2.823    1.112|   0.000    0.000    1.050
17.2920    0.0106     3971267.5000|  24.745   0.778   0.403     0.967|  0.913    1.651    1.192|     0.000    0.000    0.920|  1.939    2.931    1.086|   0.000    0.000    1.072
17.3280    0.0103     4035177.0000|  13.412   -1.394   0.480     0.467|  1.000    1.785    1.234|     0.000    0.000    0.959|  2.117    3.073    1.058|   0.000    0.000    1.095
17.3600    0.0134     4347572.0000|  24.231   0.097   0.072     0.429|  1.056    1.868    1.259|     0.000    0.000    0.995|  2.234    3.165    1.037|   0.000    0.000    1.115
17.3960    0.0118     4931293.0000|  21.484   1.304   0.181     0.864|  1.181    2.040    1.308|     0.000    0.000    1.035|  2.507    3.375    1.051|   0.000    0.000    1.138
17.4320    0.0264     4208922.0000|  21.838   0.753   -0.933     1.000|  1.249    2.129    1.332|     0.000    0.000    1.076|  2.635    3.470    1.026|   0.000    0.000    1.160
17.4680    0.0175     5176478.0000|  22.012   -1.089   -0.990     0.791|  1.373    2.282    1.372|     0.000    0.000    1.119|  2.899    3.667    1.072|   0.000    0.000    1.183
17.5000    0.0244     7266151.0000|  22.551   0.735   -1.278     0.327|  1.480    2.410    1.405|     0.000    0.000    1.157|  3.104    3.810    1.084|   0.000    0.000    1.202
17.5360    0.0179     8799559.0000|  19.819   0.911   -0.328     1.000|  1.627    2.575    1.447|     0.000    0.000    1.201|  3.385    3.982    1.100|   0.000    0.000    1.225
17.5720    0.0180     8411393.0000|  23.305   1.560   -0.997     1.000|  1.721    2.677    1.473|     0.000    0.000    1.245|  3.562    4.075    1.111|   0.000    0.000    1.247
17.6080    0.0121     8734103.0000|  23.698   0.043   0.071     0.764|  1.889    2.850    1.517|     0.000    0.000    1.290|  3.855    4.215    1.147|   0.000    0.000    1.230
17.6400    0.0190     11308822.0000|  23.489   1.129   0.537     -0.039|  2.070    3.028    1.562|     0.000    0.000    1.329|  4.146    4.324    1.184|   0.000    0.000    1.210
17.6760    0.0119     12741398.0000|  24.498   -1.426   0.266     0.718|  2.224    3.172    1.600|     0.000    0.000    1.372|  4.389    4.391    1.211|   0.000    0.000    1.188
17.7120    0.0112     16201104.0000|  25.294   1.136   -2.289     0.754|  2.388    3.317    1.638|     0.000    0.000    1.414|  4.645    4.443    1.240|   0.000    0.000    1.165
17.7480    0.0146     18284334.0000|  21.720   0.838   -0.877     0.599|  2.605    3.498    1.689|     0.000    0.000    1.456|  4.995    4.506    1.305|   0.000    0.000    1.143
17.7800    0.0123     19124226.0000|  18.725   1.459   -0.644     0.220|  2.789    3.644    1.731|     0.000    0.000    1.492|  5.247    4.548    1.314|   0.000    0.000    1.122
17.8160    0.0221     21370898.0000|  20.079   0.779   -0.035     1.000|  3.031    3.825    1.784|     0.000    0.000    1.532|  5.536    4.577    1.305|   0.000    0.000    1.100
17.8520    0.0169     22750832.0000|  21.614   1.123   0.068     0.535|  3.131    3.897    1.806|     0.000    0.000    1.571|  5.661    4.579    1.316|   0.000    0.000    1.077
17.8880    0.0090     26146000.0000|  21.649   0.761   1.842     0.920|  3.444    4.111    1.870|     0.000    0.000    1.610|  6.007    4.558    1.291|   0.000    0.000    1.055
17.9200    0.0099     29254158.0000|  23.182   0.870   0.564     0.967|  3.716    4.286    1.922|     0.000    0.000    1.643|  6.307    4.518    1.265|   0.000    0.000    1.035
17.9560    0.0117     31164686.0000|  22.713   1.686   -0.845     0.765|  3.943    4.423    1.963|     0.000    0.000    1.680|  6.574    4.477    1.261|   0.000    0.000    1.013
17.9920    0.0125     31366610.0000|  21.556   0.656   0.252     0.812|  4.178    4.558    2.004|     0.000    0.000    1.716|  6.859    4.439    1.261|   0.000    0.000    0.990
18.0280    0.0098     33124768.0000|  22.974   -0.667   0.537     0.610|  4.485    4.723    2.055|     0.000    0.000    1.751|  7.225    4.411    1.250|   0.000    0.000    0.967
18.0600    0.0132     37998288.0000|  22.083   1.281   1.585     0.041|  4.675    4.821    2.085|     0.000    0.000    1.782|  7.452    4.395    1.239|   0.000    0.000    0.947
18.0960    0.0170     41243104.0000|  16.794   0.583   2.131     0.094|  5.073    5.013    2.144|     0.000    0.000    1.816|  7.916    4.348    1.190|   0.000    0.000    0.925
18.1320    0.0132     36006188.0000|  21.772   0.224   -0.328     0.562|  5.280    5.108    2.173|     0.000    0.000    1.848|  8.157    4.326    1.168|   0.000    0.000    0.902
18.1680    0.0108     40447740.0000|  24.573   2.146   0.022     0.604|  5.637    5.265    2.219|     0.000    0.000    1.880|  8.525    4.302    1.098|   0.000    0.000    0.880
18.2000    0.0105     38340816.0000|  19.402   1.841   1.063     0.950|  5.932    5.390    2.253|     0.000    0.000    1.908|  8.766    4.300    0.985|   0.000    0.000    0.860
18.2360    0.0092     38407052.0000|  23.604   0.866   -1.453     0.411|  6.312    5.547    2.290|     0.000    0.000    1.939|  9.119    4.333    0.877|   0.000    0.000    0.837
18.2720    0.0118     42187600.0000|  23.832   1.656   0.259     -0.232|  6.626    5.674    2.316|     0.000    0.000    1.969|  9.425    4.367    0.802|   0.000    0.000    0.815
18.3080    0.0111     41566116.0000|  25.369   1.291   -0.671     1.000|  7.031    5.835    2.344|     0.000    0.000    1.998|  9.792    4.419    0.664|   0.000    0.000    0.793
18.3400    0.0175     42599800.0000|  24.035   -0.279   -1.031     -0.074|  7.365    5.967    2.362|     0.000    0.000    2.023|  10.129    4.470    0.560|   0.000    0.000    0.772
18.3760    0.0200     49324976.0000|  23.989   2.028   1.174     -0.678|  7.710    6.101    2.376|     0.000    0.000    2.050|  10.478    4.515    0.443|   0.000    0.000    0.750
18.4120    0.0174     47927016.0000|  24.028   1.090   -1.121     0.470|  8.157    6.273    2.387|     0.000    0.000    2.077|  10.946    4.577    0.280|   0.000    0.000    0.728
