time   comp_time_s     min_cost|   thrust_N   p_cmd   q_cmd   r_cmd|  x_enu   y_enu   z_enu| ref_x   ref_y   ref_z|   vx_enu  vy_enu  vz_enu|    ref_vx  ref_vy ref_vz
20.7920    0.0119     137832864.0000|  23.451   2.138   3.000     0.623|  36.470    27.687    -2.049|     -0.015    0.030    2.500|  1.687    11.485    -2.414|   -0.024    0.049    0.000
20.8280    0.0122     76607384.0000|  18.789   2.724   2.788     0.540|  36.494    28.037    -2.072|     -0.016    0.031    2.500|  1.288    9.283    -0.238|   -0.025    0.050    0.000
20.8600    0.0104     57682444.0000|  17.540   1.389   3.000     -0.164|  36.504    28.288    -1.999|     -0.016    0.033    2.500|  1.183    6.569    2.208|   -0.026    0.051    0.000
20.8960    0.0113     56302856.0000|  22.149   1.406   2.628     0.132|  36.512    28.518    -1.921|     -0.017    0.035    2.500|  0.997    6.527    1.732|   -0.026    0.053    0.000
20.9320    0.0103     69133304.0000|  20.223   3.000   2.875     0.253|  36.516    28.746    -1.859|     -0.018    0.037    2.500|  0.821    6.520    1.216|   -0.027    0.054    0.000
20.9680    0.0103     104400088.0000|  19.520   2.959   2.534     0.186|  36.514    29.030    -1.806|     -0.019    0.039    2.500|  0.577    6.519    0.501|   -0.028    0.056    0.000
21.0000    0.0146     129577344.0000|  15.537   2.949   3.000     -0.116|  36.504    29.255    -1.784|     -0.020    0.041    2.500|  0.314    6.504    -0.060|   -0.028    0.057    0.000
21.0360    0.0100     144025776.0000|  17.985   2.692   2.669     -0.151|  36.475    29.539    -1.778|     -0.021    0.043    2.500|  -0.035    6.476    -0.680|   -0.029    0.058    0.000
21.0720    0.0116     118983608.0000|  22.368   2.694   1.028     -0.086|  36.437    29.767    -1.790|     -0.022    0.045    2.500|  -0.321    6.433    -1.150|   -0.030    0.060    0.000
21.1080    0.0121     72650136.0000|  16.623   1.610   2.510     -0.247|  36.374    30.050    -1.825|     -0.023    0.047    2.500|  -0.704    6.378    -1.715|   -0.031    0.061    0.000
21.1400    0.0086     57003324.0000|  25.995   0.768   2.050     0.385|  36.327    30.220    -1.856|     -0.024    0.049    2.500|  -0.940    6.359    -2.047|   -0.031    0.063    0.000
21.1760    0.0111     48006944.0000|  19.656   1.957   2.168     0.618|  36.233    30.502    -1.925|     -0.026    0.051    2.500|  -1.328    6.349    -2.607|   -0.032    0.064    0.000
21.2120    0.0114     49997880.0000|  22.711   1.595   3.000     0.087|  36.146    30.727    -1.996|     -0.027    0.054    2.500|  -1.663    6.347    -3.089|   -0.033    0.065    0.000
21.2480    0.0100     65620112.0000|  19.339   2.933   2.759     -0.011|  36.021    31.009    -2.106|     -0.028    0.056    2.500|  -2.055    6.354    -3.720|   -0.033    0.067    0.000
21.2800    0.0141     93578840.0000|  21.884   3.000   2.296     0.666|  35.881    31.290    -2.242|     -0.029    0.058    2.500|  -2.394    6.346    -4.365|   -0.034    0.068    0.000
21.3160    0.0130     112078672.0000|  20.070   3.000   2.251     -0.139|  35.791    31.459    -2.335|     -0.030    0.061    2.500|  -2.580    6.323    -4.765|   -0.035    0.070    0.000
21.3520    0.0109     127045040.0000|  20.094   2.038   2.015     0.802|  35.664    31.681    -2.476|     -0.032    0.063    2.500|  -2.807    6.259    -5.297|   -0.036    0.071    0.000
21.3880    0.0112     131657944.0000|  19.649   1.908   2.443     1.000|  35.458    31.952    -2.601|     -0.033    0.066    2.500|  -4.929    6.480    -2.823|   -0.036    0.072    0.000
21.4200    0.0132     136834064.0000|  15.765   3.000   1.898     0.242|  35.237    32.141    -2.619|     -0.034    0.068    2.500|  -5.801    5.108    -1.233|   -0.037    0.074    0.000
21.4560    0.0105     82199456.0000|  16.368   2.893   1.842     1.000|  34.971    32.352    -2.645|     -0.035    0.071    2.500|  -5.180    4.504    -1.598|   -0.038    0.075    0.000
21.4920    0.0100     72054888.0000|  22.412   3.000   2.403     0.185|  34.817    32.472    -2.670|     -0.037    0.073    2.500|  -5.225    4.510    -2.030|   -0.038    0.077    0.000
21.5280    0.0104     68665584.0000|  17.876   3.000   0.806     0.306|  34.564    32.671    -2.735|     -0.038    0.076    2.500|  -5.093    4.673    -2.519|   -0.039    0.078    0.000
21.5600    0.0112     92880664.0000|  15.195   3.000   0.768     0.570|  34.386    32.823    -2.778|     -0.039    0.079    2.500|  -4.407    4.404    -2.275|   -0.040    0.079    0.000
21.5960    0.0096     77533008.0000|  18.509   2.990   0.347     0.557|  34.199    32.984    -2.826|     -0.041    0.082    2.500|  -3.685    3.738    -2.222|   -0.040    0.081    0.000
21.6320    0.0112     67702240.0000|  17.426   2.997   3.000     0.268|  34.062    33.099    -2.867|     -0.042    0.085    2.500|  -3.179    3.610    -1.436|   -0.041    0.082    0.000
21.6680    0.0135     67285632.0000|  19.757   3.000   1.788     0.798|  33.922    33.236    -2.887|     -0.044    0.088    2.500|  -2.938    3.482    -1.493|   -0.042    0.084    0.000
21.7000    0.0114     66307020.0000|  14.914   3.000   2.068     -0.011|  33.808    33.343    -2.904|     -0.045    0.090    2.500|  -3.243    3.415    -1.484|   -0.042    0.085    0.000
21.7360    0.0091     66278184.0000|  21.165   3.000   2.285     0.684|  33.693    33.445    -2.920|     -0.047    0.093    2.500|  -3.492    3.372    -1.469|   -0.043    0.086    0.000
21.7720    0.0104     68310888.0000|  14.895   3.000   1.932     0.666|  33.581    33.542    -2.932|     -0.048    0.096    2.500|  -3.019    3.110    -1.513|   -0.044    0.088    0.000
21.8080    0.0112     71174896.0000|  11.140   3.000   2.360     0.767|  33.463    33.656    -2.944|     -0.050    0.100    2.500|  -2.424    2.710    -1.560|   -0.045    0.089    0.000
21.8400    0.0084     73858576.0000|  19.522   3.000   -0.316     0.542|  33.377    33.739    -2.953|     -0.051    0.103    2.500|  -2.351    2.687    -1.569|   -0.045    0.091    0.000
21.8760    0.0166     77492240.0000|  15.112   3.000   1.558     1.000|  33.280    33.832    -2.961|     -0.053    0.106    2.500|  -2.006    2.219    -1.570|   -0.046    0.092    0.000
21.9120    0.0093     78908856.0000|  15.468   3.000   2.737     0.800|  33.219    33.901    -2.966|     -0.055    0.109    2.500|  -1.664    2.229    -1.572|   -0.047    0.093    0.000
21.9480    0.0111     79738632.0000|  19.845   3.000   0.063     0.957|  33.145    33.970    -2.971|     -0.056    0.113    2.500|  -1.933    1.750    -1.551|   -0.047    0.095    0.000
21.9800    0.0113     78261536.0000|  14.790   3.000   1.088     0.550|  33.099    34.005    -2.972|     -0.058    0.116    2.500|  -1.919    1.532    -1.560|   -0.048    0.096    0.000
22.0160    0.0113     73795248.0000|  18.590   3.000   1.862     0.633|  33.017    34.046    -2.973|     -0.060    0.119    2.500|  -2.132    1.021    -1.525|   -0.049    0.098    0.000
22.0520    0.0103     71219008.0000|  19.473   3.000   -0.483     0.836|  32.945    34.064    -2.971|     -0.061    0.123    2.500|  -2.163    0.689    -1.512|   -0.050    0.099    0.000
22.0880    0.0101     69251216.0000|  21.213   3.000   1.865     0.785|  32.864    34.086    -2.968|     -0.063    0.126    2.500|  -1.665    0.728    -1.493|   -0.050    0.100    0.000
22.1200    0.0100     67811328.0000|  16.012   2.993   2.395     0.657|  32.812    34.102    -2.963|     -0.065    0.129    2.500|  -1.217    0.704    -1.494|   -0.051    0.102    0.000
22.1560    0.0097     69062672.0000|  19.075   3.000   0.982     1.000|  32.759    34.124    -2.956|     -0.067    0.133    2.500|  -0.909    0.725    -1.463|   -0.052    0.103    0.000
22.1920    0.0098     68748096.0000|  16.820   3.000   0.263     0.447|  32.731    34.138    -2.947|     -0.068    0.137    2.500|  -0.337    0.274    -1.469|   -0.052    0.105    0.000
22.2280    0.0121     66682036.0000|  20.942   3.000   3.000     0.750|  32.725    34.138    -2.939|     -0.070    0.141    2.500|  0.053    0.026    -1.466|   -0.053    0.106    0.000
22.2600    0.0107     68237992.0000|  16.737   2.848   3.000     1.000|  32.733    34.131    -2.933|     -0.072    0.144    2.500|  0.421    -0.307    -1.467|   -0.054    0.107    0.000
22.2960    0.0097     69678728.0000|  18.222   2.786   2.479     0.506|  32.760    34.118    -2.926|     -0.074    0.148    2.500|  0.900    -0.417    -1.461|   -0.054    0.109    0.000
22.3320    0.0105     73311336.0000|  15.928   3.000   2.873     0.836|  32.818    34.095    -2.915|     -0.076    0.152    2.500|  1.431    -0.416    -1.445|   -0.055    0.110    0.000
22.3680    0.0114     78622600.0000|  13.034   2.926   2.728     0.998|  32.874    34.078    -2.906|     -0.078    0.156    2.500|  1.357    -0.456    -1.418|   -0.056    0.112    0.000
22.4000    0.0106     80829648.0000|  15.162   2.873   3.000     -0.066|  32.914    34.059    -2.900|     -0.080    0.159    2.500|  1.158    -0.886    -1.415|   -0.056    0.113    0.000
22.4360    0.0107     89983656.0000|  17.860   3.000   3.000     0.693|  32.992    34.013    -2.884|     -0.082    0.164    2.500|  1.437    -0.767    -1.379|   -0.057    0.114    0.000
22.4720    0.0127     98855112.0000|  19.636   2.509   2.984     0.636|  33.039    33.992    -2.876|     -0.084    0.168    2.500|  1.720    -0.768    -1.369|   -0.058    0.116    0.000
22.5080    0.0143     129313464.0000|  14.494   2.375   3.000     -0.231|  33.158    33.946    -2.864|     -0.086    0.172    2.500|  2.371    -0.973    -1.359|   -0.059    0.117    0.000
22.5400    0.0111     148605424.0000|  11.219   1.885   3.000     0.736|  33.220    33.921    -2.857|     -0.088    0.176    2.500|  2.424    -1.193    -1.350|   -0.059    0.119    0.000
22.5760    0.0115     167315216.0000|  13.737   2.228   2.079     -0.013|  33.335    33.877    -2.844|     -0.090    0.180    2.500|  2.778    -1.082    -1.332|   -0.060    0.120    0.000
22.6120    0.0096     167950832.0000|  18.693   1.479   2.244     0.196|  33.431    33.852    -2.833|     -0.092    0.184    2.500|  2.753    -0.668    -1.285|   -0.061    0.121    0.000
22.6480    0.0099     138043472.0000|  14.811   1.329   2.671     0.319|  33.550    33.832    -2.814|     -0.094    0.189    2.500|  2.564    -0.697    -1.309|   -0.061    0.123    0.000
22.6800    0.0102     110307544.0000|  15.864   2.878   2.488     0.255|  33.635    33.815    -2.798|     -0.096    0.193    2.500|  2.331    -0.873    -1.235|   -0.062    0.124    0.000
22.7160    0.0109     95500744.0000|  14.798   3.000   2.005     -0.046|  33.715    33.795    -2.784|     -0.099    0.197    2.500|  2.276    -0.922    -1.212|   -0.063    0.126    0.000
22.7520    0.0108     82883288.0000|  16.053   2.924   -0.484     -0.413|  33.804    33.778    -2.768|     -0.101    0.202    2.500|  1.973    -0.809    -1.176|   -0.064    0.127    0.000
22.7880    0.0154     78279144.0000|  15.907   3.000   0.055     -0.053|  33.873    33.765    -2.752|     -0.103    0.206    2.500|  1.758    -0.822    -1.135|   -0.064    0.128    0.000
22.8200    0.0094     78035656.0000|  14.982   3.000   -0.685     -0.201|  33.873    33.765    -2.752|     -0.105    0.210    2.500|  1.758    -0.822    -1.135|   -0.065    0.130    0.000
22.8560    0.0157     74389544.0000|  16.407   3.000   0.076     -0.564|  33.956    33.727    -2.725|     -0.108    0.215    2.500|  1.635    -1.529    -1.128|   -0.066    0.131    0.000
22.8920    0.0136     74339128.0000|  18.955   3.000   -0.180     -0.106|  33.994    33.688    -2.713|     -0.110    0.220    2.500|  1.731    -1.935    -1.128|   -0.066    0.133    0.000
22.9280    0.0165     75004528.0000|  16.751   2.929   0.100     -0.511|  34.047    33.633    -2.698|     -0.112    0.225    2.500|  1.931    -1.992    -1.128|   -0.067    0.134    0.000
22.9600    0.0095     75785128.0000|  14.980   3.000   1.885     -0.200|  34.087    33.576    -2.687|     -0.115    0.229    2.500|  1.673    -2.159    -1.095|   -0.068    0.135    0.000
22.9960    0.0086     81691048.0000|  12.740   3.000   -0.600     -0.890|  34.128    33.501    -2.672|     -0.117    0.234    2.500|  1.507    -2.115    -1.074|   -0.068    0.137    0.000
23.0320    0.0109     82706832.0000|  15.120   3.000   2.634     -0.926|  34.156    33.440    -2.660|     -0.119    0.239    2.500|  1.441    -2.183    -1.061|   -0.069    0.138    0.000
23.0680    0.0119     89828752.0000|  14.278   3.000   2.249     -0.636|  34.194    33.356    -2.645|     -0.122    0.244    2.500|  1.588    -2.438    -1.045|   -0.070    0.140    0.000
23.1000    0.0113     93219632.0000|  14.546   2.560   0.642     -0.318|  34.210    33.309    -2.635|     -0.124    0.248    2.500|  1.186    -2.154    -1.021|   -0.070    0.141    0.000
23.1360    0.0108     95132504.0000|  14.413   3.000   1.309     -0.530|  34.230    33.227    -2.619|     -0.127    0.253    2.500|  1.313    -2.549    -1.005|   -0.071    0.142    0.000
23.1720    0.0108     100953672.0000|  16.464   2.360   2.484     -0.685|  34.242    33.155    -2.605|     -0.129    0.259    2.500|  0.965    -2.644    -0.984|   -0.072    0.144    0.000
23.2080    0.0114     115266520.0000|  16.592   2.968   2.766     -0.038|  34.245    33.065    -2.590|     -0.132    0.264    2.500|  0.663    -2.566    -0.951|   -0.073    0.145    0.000
23.2400    0.0123     125991776.0000|  16.668   2.822   1.696     0.040|  34.237    32.998    -2.576|     -0.134    0.268    2.500|  0.625    -2.289    -0.962|   -0.073    0.147    0.000
23.2760    0.0126     132243456.0000|  15.646   2.646   2.513     -0.711|  34.232    32.922    -2.559|     -0.137    0.274    2.500|  0.841    -2.134    -0.944|   -0.074    0.148    0.000
23.3120    0.0119     136773872.0000|  18.248   2.576   1.604     -0.989|  34.232    32.872    -2.545|     -0.140    0.279    2.500|  0.897    -1.762    -0.884|   -0.075    0.149    0.000
23.3480    0.0093     140887520.0000|  14.396   1.823   1.494     -0.943|  34.229    32.839    -2.530|     -0.142    0.285    2.500|  0.689    -1.272    -0.850|   -0.075    0.151    0.000
23.3800    0.0110     137072704.0000|  16.376   2.135   1.811     -0.571|  34.223    32.822    -2.514|     -0.145    0.289    2.500|  0.684    -1.127    -0.828|   -0.076    0.152    0.000
23.4160    0.0110     129110584.0000|  13.052   2.690   1.326     -0.527|  34.209    32.801    -2.493|     -0.147    0.295    2.500|  0.241    -1.467    -0.809|   -0.077    0.154    0.000
23.4520    0.0097     124146528.0000|  13.506   2.463   1.128     -0.488|  34.192    32.774    -2.477|     -0.150    0.300    2.500|  0.198    -1.716    -0.798|   -0.078    0.155    0.000
23.4880    0.0098     118846080.0000|  13.591   0.448   2.855     -0.984|  34.174    32.747    -2.456|     -0.153    0.306    2.500|  0.334    -1.310    -0.789|   -0.078    0.156    0.000
23.5200    0.0118     118998952.0000|  13.903   1.043   1.920     -0.784|  34.144    32.734    -2.436|     -0.156    0.311    2.500|  -0.134    -0.904    -0.728|   -0.079    0.158    0.000
23.5560    0.0117     117538488.0000|  15.382   0.953   2.506     -0.627|  34.110    32.735    -2.418|     -0.158    0.317    2.500|  -0.237    -0.505    -0.702|   -0.080    0.159    0.000
23.5920    0.0106     114652336.0000|  18.222   -0.020   2.266     -0.691|  34.070    32.749    -2.401|     -0.161    0.323    2.500|  -0.714    -0.344    -0.678|   -0.080    0.161    0.000
23.6280    0.0109     111112584.0000|  22.334   0.650   3.000     -0.851|  34.016    32.771    -2.383|     -0.164    0.328    2.500|  -1.160    -0.098    -0.657|   -0.081    0.162    0.000
23.6600    0.0107     111327328.0000|  20.734   0.994   2.427     -0.955|  33.938    32.797    -2.360|     -0.167    0.334    2.500|  -1.175    -0.437    -0.640|   -0.082    0.163    0.000
23.6960    0.0134     106077208.0000|  16.065   -1.522   3.000     -0.961|  33.873    32.820    -2.342|     -0.170    0.339    2.500|  -1.342    -0.143    -0.616|   -0.082    0.165    0.000
23.7320    0.0102     103832976.0000|  16.718   0.104   0.704     -1.000|  33.795    32.844    -2.324|     -0.173    0.345    2.500|  -1.747    -0.268    -0.599|   -0.083    0.166    0.000
23.7680    0.0114     98760192.0000|  15.367   -0.491   2.789     0.298|  33.685    32.865    -2.303|     -0.176    0.351    2.500|  -2.070    -0.602    -0.586|   -0.084    0.168    0.000
23.8000    0.0098     99271928.0000|  20.125   -0.606   3.000     -0.896|  33.587    32.871    -2.287|     -0.178    0.357    2.500|  -2.302    -0.952    -0.575|   -0.084    0.169    0.000
23.8360    0.0119     94662416.0000|  12.367   1.395   2.070     -0.877|  33.455    32.863    -2.266|     -0.181    0.363    2.500|  -2.370    -1.081    -0.569|   -0.085    0.170    0.000
23.8720    0.0096     91366608.0000|  13.051   2.340   2.747     -0.729|  33.376    32.860    -2.254|     -0.185    0.369    2.500|  -2.240    -0.690    -0.557|   -0.086    0.172    0.000
23.9080    0.0108     90847856.0000|  16.676   1.394   3.000     -1.000|  33.220    32.857    -2.231|     -0.188    0.375    2.500|  -2.250    -0.786    -0.530|   -0.087    0.173    0.000
23.9400    0.0103     88757536.0000|  18.460   2.613   3.000     -0.071|  33.126    32.857    -2.215|     -0.190    0.381    2.500|  -2.202    -0.529    -0.523|   -0.087    0.175    0.000
23.9760    0.0132     90733608.0000|  11.170   0.312   3.000     -0.486|  33.035    32.866    -2.200|     -0.194    0.387    2.500|  -2.094    -0.173    -0.509|   -0.088    0.176    0.000
24.0120    0.0103     87491960.0000|  18.670   0.889   2.896     -0.655|  32.941    32.884    -2.185|     -0.197    0.394    2.500|  -2.452    0.093    -0.491|   -0.089    0.177    0.000
24.0480    0.0102     84889912.0000|  20.491   1.953   3.000     -0.607|  32.827    32.924    -2.165|     -0.200    0.400    2.500|  -2.360    0.315    -0.473|   -0.089    0.179    0.000
24.0800    0.0124     84658640.0000|  20.382   1.229   3.000     -0.625|  32.757    32.947    -2.153|     -0.203    0.406    2.500|  -2.226    0.319    -0.449|   -0.090    0.180    0.000
24.1160    0.0097     87303752.0000|  11.933   2.801   2.773     -1.000|  32.641    33.011    -2.128|     -0.206    0.412    2.500|  -1.895    0.794    -0.449|   -0.091    0.182    0.000
24.1520    0.0114     89909960.0000|  16.453   1.963   2.752     -0.894|  32.570    33.068    -2.111|     -0.209    0.419    2.500|  -1.982    1.052    -0.428|   -0.092    0.183    0.000
24.1880    0.0104     89834136.0000|  22.355   2.518   2.287     -0.710|  32.483    33.144    -2.090|     -0.213    0.425    2.500|  -1.858    1.030    -0.422|   -0.092    0.184    0.000
24.2200    0.0117     92003856.0000|  18.122   2.498   2.672     -0.903|  32.432    33.189    -2.077|     -0.216    0.431    2.500|  -2.064    1.080    -0.410|   -0.093    0.186    0.000
24.2560    0.0109     86939496.0000|  17.181   3.000   2.729     -0.911|  32.320    33.280    -2.052|     -0.219    0.438    2.500|  -2.345    0.862    -0.396|   -0.094    0.187    0.000
24.2920    0.0112     86019832.0000|  15.370   1.641   1.351     -0.837|  32.258    33.322    -2.040|     -0.222    0.445    2.500|  -2.466    0.922    -0.414|   -0.094    0.189    0.000
24.3280    0.0105     79469024.0000|  13.943   3.000   2.911     -0.494|  32.157    33.382    -2.020|     -0.226    0.452    2.500|  -2.386    0.542    -0.377|   -0.095    0.190    0.000
24.3600    0.0105     76829344.0000|  20.344   3.000   1.248     -0.543|  32.068    33.426    -2.004|     -0.229    0.458    2.500|  -2.779    0.729    -0.362|   -0.096    0.191    0.000
24.3960    0.0120     74963624.0000|  23.776   2.976   2.144     -0.955|  31.943    33.487    -1.985|     -0.232    0.465    2.500|  -2.920    0.953    -0.350|   -0.096    0.193    0.000
24.4320    0.0104     73134448.0000|  19.308   2.909   2.010     -0.942|  31.847    33.533    -1.970|     -0.236    0.472    2.500|  -2.672    0.755    -0.337|   -0.097    0.194    0.000
24.4680    0.0122     72303256.0000|  14.280   2.954   2.956     0.021|  31.733    33.582    -1.951|     -0.239    0.479    2.500|  -2.681    0.919    -0.326|   -0.098    0.196    0.000
24.5000    0.0097     74184912.0000|  19.803   2.936   2.728     -0.616|  31.643    33.624    -1.936|     -0.242    0.485    2.500|  -2.441    0.632    -0.331|   -0.098    0.197    0.000
24.5360    0.0088     75066816.0000|  17.146   3.000   1.590     -0.804|  31.560    33.652    -1.922|     -0.246    0.492    2.500|  -2.361    0.227    -0.329|   -0.099    0.198    0.000
24.5720    0.0118     76469416.0000|  18.240   1.789   3.000     -0.823|  31.483    33.665    -1.908|     -0.250    0.499    2.500|  -2.268    -0.161    -0.326|   -0.100    0.200    0.000
24.6080    0.0100     77545640.0000|  20.357   2.618   3.000     -0.790|  31.391    33.663    -1.890|     -0.253    0.506    2.500|  -2.337    -0.240    -0.320|   -0.101    0.201    0.000
24.6400    0.0097     80512976.0000|  19.431   3.000   1.782     -0.378|  31.312    33.660    -1.876|     -0.256    0.513    2.500|  -2.553    -0.204    -0.323|   -0.101    0.203    0.000
24.6760    0.0100     81636704.0000|  18.129   2.177   3.000     -0.901|  31.218    33.650    -1.858|     -0.260    0.520    2.500|  -2.209    -0.481    -0.304|   -0.102    0.204    0.000
24.7120    0.0117     81668336.0000|  20.022   2.942   2.928     -0.788|  31.166    33.637    -1.848|     -0.264    0.528    2.500|  -1.994    -0.697    -0.305|   -0.103    0.205    0.000
24.7480    0.0121     83643200.0000|  18.307   1.952   3.000     -1.000|  31.063    33.590    -1.827|     -0.267    0.535    2.500|  -2.051    -0.970    -0.294|   -0.103    0.207    0.000
24.7800    0.0129     85203560.0000|  18.250   2.230   2.959     -0.466|  31.013    33.570    -1.818|     -0.271    0.542    2.500|  -2.159    -0.688    -0.280|   -0.104    0.208    0.000
24.8160    0.0106     87085880.0000|  17.383   1.181   2.952     -0.636|  30.922    33.538    -1.801|     -0.275    0.549    2.500|  -2.421    -0.817    -0.273|   -0.105    0.210    0.000
24.8520    0.0114     87609696.0000|  18.780   2.078   3.000     -1.000|  30.851    33.507    -1.788|     -0.278    0.557    2.500|  -2.272    -1.047    -0.269|   -0.106    0.211    0.000
24.8880    0.0118     86875080.0000|  18.447   2.323   2.979     -0.715|  30.756    33.465    -1.772|     -0.282    0.564    2.500|  -2.586    -1.001    -0.260|   -0.106    0.212    0.000
24.9200    0.0100     86263992.0000|  14.291   1.440   3.000     -0.668|  30.670    33.437    -1.758|     -0.286    0.571    2.500|  -2.778    -0.754    -0.250|   -0.107    0.214    0.000
24.9560    0.0093     86413040.0000|  11.208   0.920   3.000     -0.906|  30.554    33.411    -1.742|     -0.289    0.579    2.500|  -2.926    -0.652    -0.243|   -0.108    0.215    0.000
24.9920    0.0099     85684216.0000|  16.028   0.192   2.458     -0.882|  30.480    33.394    -1.731|     -0.293    0.587    2.500|  -3.099    -0.803    -0.230|   -0.108    0.217    0.000
25.0280    0.0113     81742872.0000|  15.313   0.969   3.000     -0.571|  30.328    33.349    -1.712|     -0.297    0.594    2.500|  -3.077    -1.209    -0.227|   -0.109    0.218    0.000
25.0600    0.0087     82090056.0000|  15.564   1.545   3.000     -0.778|  30.223    33.308    -1.699|     -0.301    0.601    2.500|  -3.197    -1.545    -0.222|   -0.110    0.219    0.000
25.0960    0.0106     81039688.0000|  11.724   1.638   3.000     -0.751|  30.113    33.255    -1.686|     -0.305    0.609    2.500|  -3.245    -1.718    -0.194|   -0.110    0.221    0.000
25.1320    0.0103     78561688.0000|  13.937   0.418   3.000     -1.000|  30.008    33.205    -1.674|     -0.309    0.617    2.500|  -3.069    -1.335    -0.189|   -0.111    0.222    0.000
25.1680    0.0107     75990608.0000|  14.207   0.947   2.851     -0.671|  29.890    33.157    -1.658|     -0.313    0.625    2.500|  -2.552    -0.915    -0.209|   -0.112    0.224    0.000
25.2000    0.0097     72647768.0000|  15.603   2.707   2.740     -0.498|  29.809    33.121    -1.645|     -0.316    0.633    2.500|  -2.485    -1.209    -0.195|   -0.112    0.225    0.000
25.2360    0.0106     72283952.0000|  14.862   1.718   3.000     -1.000|  29.733    33.081    -1.633|     -0.320    0.641    2.500|  -2.159    -1.105    -0.198|   -0.113    0.226    0.000
25.2720    0.0107     72194424.0000|  8.970   2.031   3.000     -0.890|  29.664    33.039    -1.617|     -0.324    0.649    2.500|  -1.496    -0.989    -0.195|   -0.114    0.228    0.000
25.3080    0.0104     74718632.0000|  12.930   0.804   2.965     -0.663|  29.617    32.994    -1.602|     -0.329    0.657    2.500|  -1.207    -1.420    -0.195|   -0.115    0.229    0.000
25.3400    0.0109     78135688.0000|  17.015   2.071   3.000     -0.290|  29.593    32.951    -1.589|     -0.332    0.664    2.500|  -0.875    -1.276    -0.196|   -0.115    0.231    0.000
25.3760    0.0094     80539384.0000|  16.798   0.720   3.000     -0.529|  29.578    32.908    -1.577|     -0.336    0.673    2.500|  -0.884    -1.542    -0.190|   -0.116    0.232    0.000
25.4120    0.0101     81469840.0000|  18.359   0.958   2.993     -0.044|  29.569    32.862    -1.565|     -0.341    0.681    2.500|  -0.599    -1.174    -0.177|   -0.117    0.233    0.000
25.4480    0.0114     82172040.0000|  19.338   0.230   3.000     -0.546|  29.568    32.822    -1.549|     -0.345    0.690    2.500|  -0.383    -0.934    -0.150|   -0.117    0.235    0.000
25.4800    0.0223     87036984.0000|  24.225   1.933   3.000     -0.558|  29.574    32.796    -1.537|     -0.349    0.697    2.500|  -0.249    -0.931    -0.166|   -0.118    0.236    0.000
25.5160    0.0198     94189160.0000|  20.603   -0.007   3.000     -1.000|  29.587    32.758    -1.522|     -0.353    0.706    2.500|  -0.183    -0.788    -0.160|   -0.119    0.238    0.000
25.5520    0.0114     101798264.0000|  18.058   0.893   3.000     -0.968|  29.592    32.743    -1.513|     -0.357    0.714    2.500|  -0.460    -0.749    -0.155|   -0.120    0.239    0.000
25.5880    0.0102     105502432.0000|  22.158   0.964   2.850     -0.633|  29.584    32.717    -1.499|     -0.361    0.723    2.500|  -0.862    -0.642    -0.163|   -0.120    0.240    0.000
25.6200    0.0102     105661944.0000|  21.833   1.034   3.000     -0.291|  29.570    32.704    -1.487|     -0.365    0.731    2.500|  -0.925    -0.340    -0.162|   -0.121    0.242    0.000
25.6560    0.0098     108266536.0000|  20.739   0.782   3.000     -0.738|  29.551    32.692    -1.474|     -0.370    0.739    2.500|  -0.894    -0.725    -0.131|   -0.122    0.243    0.000
25.6920    0.0089     109832064.0000|  22.488   0.269   3.000     -0.811|  29.526    32.671    -1.461|     -0.374    0.748    2.500|  -1.031    -1.036    -0.129|   -0.122    0.245    0.000
25.7280    0.0096     112557328.0000|  18.902   -0.050   3.000     -0.324|  29.484    32.635    -1.446|     -0.378    0.757    2.500|  -1.350    -1.278    -0.121|   -0.123    0.246    0.000
25.7600    0.0096     105419096.0000|  20.019   3.000   2.999     -0.895|  29.459    32.606    -1.438|     -0.382    0.765    2.500|  -0.947    -1.510    -0.119|   -0.124    0.247    0.000
25.7960    0.0106     94066112.0000|  21.802   0.315   2.771     -0.451|  29.428    32.546    -1.425|     -0.387    0.774    2.500|  -0.778    -1.628    -0.119|   -0.124    0.249    0.000
25.8320    0.0099     86553640.0000|  21.656   1.634   3.000     -0.980|  29.403    32.490    -1.416|     -0.391    0.783    2.500|  -0.992    -1.841    -0.114|   -0.125    0.250    0.000
25.8680    0.0096     80227120.0000|  20.500   2.001   3.000     -1.000|  29.362    32.406    -1.403|     -0.396    0.792    2.500|  -1.254    -2.111    -0.106|   -0.126    0.252    0.000
25.9000    0.0101     77473368.0000|  23.736   1.908   3.000     -0.389|  29.327    32.332    -1.393|     -0.400    0.800    2.500|  -1.241    -2.345    -0.097|   -0.126    0.253    0.000
25.9360    0.0107     72688984.0000|  22.761   0.763   3.000     -0.796|  29.278    32.236    -1.381|     -0.404    0.809    2.500|  -1.082    -2.125    -0.098|   -0.127    0.254    0.000
25.9720    0.0110     70276784.0000|  22.168   0.990   3.000     -0.876|  29.245    32.158    -1.372|     -0.409    0.818    2.500|  -1.181    -2.379    -0.107|   -0.128    0.256    0.000
26.0080    0.0115     68721280.0000|  26.000   1.215   3.000     -0.541|  29.203    32.060    -1.361|     -0.414    0.827    2.500|  -0.740    -2.256    -0.088|   -0.129    0.257    0.000
